local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_songs,local_only,s3_only,match_pct,count_diff_pct,quality
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks,Garth Brooks - The Hits [guitar Tab],1,1,0,0,1.000,0.000,PERFECT
Garth Brooks,Garth Brooks - The Limited Series,21,Garth Brooks,The Limited Series,21,21,0,0,1.000,0.000,PERFECT
Genesis,Genesis - A Trick Of The Tail _Book_,8,Genesis,A Trick Of The Tail [book],8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Anthology,44,Genesis,Anthology,44,44,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Best Of Vol 1,10,Genesis,Best Of Vol 1,10,10,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Invisible Touch _Book_,8,Genesis,Invisible Touch [book],8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Rock Score,4,Genesis,Rock Score,4,4,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Seconds Out,8,Genesis,Seconds Out,8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Selling England By The Pound,7,Genesis,Selling England By The Pound,7,7,0,0,1.000,0.000,PERFECT
George Michael,George Michael - Greatest Hits,29,George Michael,Greatest Hits,29,29,0,0,1.000,0.000,PERFECT
George Michael,George Michael - Older _Book_,11,George Michael,Older [book],11,11,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,5,Grand Funk Railroad,Grand Funk - Closer To Home [pvg Book],5,5,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,8,Grand Funk Railroad,Grand Funk - We're An American Band [pvg Book],8,8,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Born To Die _PVG Book_,10,Grand Funk Railroad,Born To Die [pvg Book],10,10,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,23,Grand Funk Railroad,"Hits From We're An American Band, Shinin' On, Phoenix [pvg]",23,23,0,0,1.000,0.000,PERFECT
Harry Chapin,Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,9,Harry Chapin,The Authentic Guitar Style Of [guitar Tab],9,9,0,0,1.000,0.000,PERFECT
