Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Garth Brooks\Garth Brooks - No Fences _Guitar Tab_.pdf,Garth Brooks\Garth Brooks - No Fences _Guitar Tab_,7,Garth Brooks\Garth Brooks - The Hits _Guitar Tab_,1,100.0% vs 82.2%,Compare and choose
Garth Brooks\Garth Brooks - The Hits _Guitar Tab_.pdf,Garth Brooks\Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks\Garth Brooks - No Fences _Guitar Tab_,7,100.0% vs 82.2%,Compare and choose
Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_.pdf,Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_,5,Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_,10,100.0% vs 75.6%,Compare and choose
Grand Funk Railroad\Grand Funk - Were An American Band _PVG Book_.pdf,Grand Funk Railroad\Grand Funk - Were An American Band _PVG Book_,8,Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_,5,100.0% vs 72.3%,Compare and choose
Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_.pdf,Grand Funk Railroad\Grand Funk Railroad - Born To Die _PVG Book_,10,Grand Funk Railroad\Grand Funk - Closer To Home _PVG Book_,5,100.0% vs 75.6%,Compare and choose
James Blunt\James Blunt - All The Lost Souls _Book_.pdf,James Blunt\James Blunt - All The Lost Souls _Book_,10,James Blunt\James Blunt - Back To Bedlam _Book_,1,100.0% vs 70.3%,Compare and choose
James Blunt\James Blunt - Back To Bedlam _Book_.pdf,James Blunt\James Blunt - Back To Bedlam _Book_,1,James Blunt\James Blunt - All The Lost Souls _Book_,10,100.0% vs 73.0%,Compare and choose
James Taylor\James Taylor - James Taylor Songbook.pdf,James Taylor\James Taylor - James Taylor Songbook,24,James Taylor\James Taylor - James Taylor _PVG Book_,21,100.0% vs 89.2%,Compare and choose
James Taylor\James Taylor - James Taylor _PVG Book_.pdf,James Taylor\James Taylor - James Taylor _PVG Book_,21,James Taylor\James Taylor - James Taylor Songbook,24,100.0% vs 89.2%,Compare and choose
James Taylor\James Taylor - Thats Why Im Here _PVG Book_.pdf,James Taylor\James Taylor - Thats Why Im Here _PVG Book_,10,James Taylor\James Taylor - James Taylor _PVG Book_,21,100.0% vs 76.5%,Compare and choose
Joe Cocker\Joe Cocker - Best Of.pdf,Joe Cocker\Joe Cocker - Best Of,16,Joe Cocker\Joe Cocker - Songbook,1,100.0% vs 73.2%,Compare and choose
Joe Cocker\Joe Cocker - Songbook.pdf,Joe Cocker\Joe Cocker - Songbook,1,Joe Cocker\Joe Cocker - Best Of,16,100.0% vs 73.2%,Compare and choose
John Denver\John Denver - I Want To Live _PVG Book_.pdf,John Denver\John Denver - I Want To Live _PVG Book_,11,John Denver\John Denver - Anthology _PVG_,53,100.0% vs 73.5%,Compare and choose
Journey\Journey - Frontiers _Jap Band Score_.pdf,Journey\Journey - Frontiers _Jap Band Score_,1,Journey\Journey - Superbest _Jap Band Score_,15,100.0% vs 83.3%,Compare and choose
Journey\Journey - Greatest Hits _Book_.pdf,Journey\Journey - Greatest Hits _Book_,5,Journey\Journey - Greatest Hits,6,100.0% vs 86.8%,Compare and choose
Journey\Journey - Greatest Hits.pdf,Journey\Journey - Greatest Hits,6,Journey\Journey - Greatest Hits _Book_,5,100.0% vs 86.8%,Compare and choose
Journey\Journey - Superbest _Jap Band Score_.pdf,Journey\Journey - Superbest _Jap Band Score_,15,Journey\Journey - Frontiers _Jap Band Score_,1,100.0% vs 83.3%,Compare and choose
Kinks\Kinks - Best Of The Kinks _Score_.pdf,Kinks\Kinks - Best Of The Kinks _Score_,12,Kinks\Kinks - Best Of _Score_,9,100.0% vs 82.1%,Compare and choose
Kinks\Kinks - Best Of _Score_.pdf,Kinks\Kinks - Best Of _Score_,9,Kinks\Kinks - Best Of The Kinks _Score_,12,100.0% vs 82.1%,Compare and choose
Neil Young\Neil Young - After The Goldrush _PVG Book_.pdf,Neil Young\Neil Young - After The Goldrush _PVG Book_,10,Neil Young\Neil Young - Decade _PVG Book_,22,100.0% vs 72.2%,Compare and choose
Neil Young\Neil Young - Greatest Hits _Guitar Tab_.pdf,Neil Young\Neil Young - Greatest Hits _Guitar Tab_,15,Neil Young\Neil Young - Harvest Moon _Guitar Tab_,10,100.0% vs 80.5%,Compare and choose
Neil Young\Neil Young - Harvest Moon _Guitar Tab_.pdf,Neil Young\Neil Young - Harvest Moon _Guitar Tab_,10,Neil Young\Neil Young - Greatest Hits _Guitar Tab_,15,100.0% vs 80.5%,Compare and choose
