"Artist","BookName","SourcePath","ProcessedFolder","PDFCount","Status"
"Bon Jovi","Bon Jovi - Best of Bon Jovi","C:\Work\AWSMusic\SheetMusic\Bon Jovi\Books\Bon Jovi - Best of Bon Jovi.pdf","ProcessedSongs\Bon Jovi\Best Of Bon Jovi","19","EXPANDED"
"Bonnie Raitt","Bonnie Raitt - Nick Of Time [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\Books\Bonnie Raitt - Nick Of Time [PVG Book].pdf","ProcessedSongs\Bonnie Raitt\Bonnie Raitt - Nick Of Time [pvg Book]","1","EXPANDED"
"Bonnie Raitt","Bonnie Raitt - Road Tested [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\Books\Bonnie Raitt - Road Tested [PVG Book].pdf","ProcessedSongs\Bonnie Raitt\Road Tested [pvg Book]","22","EXPANDED"
"Bonnie Tyler","Bonnie Tyler - Hot Songs","C:\Work\AWSMusic\SheetMusic\Bonnie Tyler\Books\Bonnie Tyler - Hot Songs.pdf","ProcessedSongs\Bonnie Tyler\Hot Songs","7","EXPANDED"
"Bread","Bread - Best of Bread","C:\Work\AWSMusic\SheetMusic\Bread\Books\Bread - Best of Bread.pdf","ProcessedSongs\Bread\Best Of Bread","4","EXPANDED"
"Bruce Springsteen","Bruce Springsteen - Born In The USA","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Born In The USA.pdf","ProcessedSongs\Bruce Springsteen\Born In The Usa","13","EXPANDED"
"Bruce Springsteen","Bruce Springsteen - Born To Run","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Born To Run.pdf","ProcessedSongs\Bruce Springsteen\Born To Run","8","EXPANDED"
"Bruce Springsteen","Bruce Springsteen - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Greatest Hits.pdf","ProcessedSongs\Bruce Springsteen\Greatest Hits","13","EXPANDED"
"Bruce Springsteen","Bruce Springsteen - Lucky Town","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Lucky Town.pdf","ProcessedSongs\Bruce Springsteen\Lucky Town","9","EXPANDED"
"Buddy Holly","Buddy Holly - Golden Anniversary Songbook","C:\Work\AWSMusic\SheetMusic\Buddy Holly\Books\Buddy Holly - Golden Anniversary Songbook.pdf","ProcessedSongs\Buddy Holly\Golden Anniversary Songbook","28","EXPANDED"
"Burl Ives","Burl Ives - Song Book","C:\Work\AWSMusic\SheetMusic\Burl Ives\Books\Burl Ives - Song Book.pdf","ProcessedSongs\Burl Ives\Song Book","106","EXPANDED"
"Burt Bacharach","Burt Bacharach - 40 Golden Songs Of","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\Books\Burt Bacharach - 40 Golden Songs Of.pdf","ProcessedSongs\Burt Bacharach\40 Golden Songs Of","40","EXPANDED"
"Burt Bacharach","Burt Bacharach - Anthology","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\Books\Burt Bacharach - Anthology.pdf","ProcessedSongs\Burt Bacharach\Anthology","33","EXPANDED"
"Burt Bacharach","Burt Bacharach - Bacharach Collection","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\Books\Burt Bacharach - Bacharach Collection.pdf","ProcessedSongs\Burt Bacharach\Bacharach Collection","15","EXPANDED"
"Carole King","Carole King - Bradley's Best Of The Best (Organ)","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Bradley's Best Of The Best (Organ).pdf","ProcessedSongs\Carole King\Bradley's Best Of The Best (organ)","13","EXPANDED"
"Carole King","Carole King - Classics (2)","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Classics (2).pdf","ProcessedSongs\Carole King\Classics (2)","35","EXPANDED"
"Carole King","Carole King - Classics (3)","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Classics (3).pdf","ProcessedSongs\Carole King\Classics (3)","35","EXPANDED"
"Carole King","Carole King - Classics","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Classics.pdf","ProcessedSongs\Carole King\Classics","21","EXPANDED"
"Carole King","Carole King - Keyboard Play-Along Vol 22","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Keyboard Play-Along Vol 22.pdf","ProcessedSongs\Carole King\Keyboard Play-along Vol 22","8","EXPANDED"
"Carole King","Carole King - Tapestry","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - Tapestry.pdf","ProcessedSongs\Carole King\Tapestry","12","EXPANDED"
"Carole King","Carole King - The New Best Of Carole King","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - The New Best Of Carole King.pdf","ProcessedSongs\Carole King\The New Best Of Carole King","19","EXPANDED"
"Carole King","Carole King - You're The Voice","C:\Work\AWSMusic\SheetMusic\Carole King\Books\Carole King - You're The Voice.pdf","ProcessedSongs\Carole King\You're The Voice","11","EXPANDED"
