local_artist,local_book,local_song_count,s3_artist,s3_book,s3_song_count,match_pct,match_quality,matches,local_only,s3_only,status,notes
Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,10,Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of [guitar Tab],6,0.6,PARTIAL,6,4,0,NEEDS_REVIEW,
Meatloaf,MeatLoaf - Bat Out Of Hell,3,Meatloaf,Meatloaf - Bat Out Of Hell,2,0.6666666666666666,PARTIAL,2,1,0,NEEDS_REVIEW,
Various Artists,Various Artists - Best Of 80s Rock _PVG_,33,Various Artists,Best Of 80s Rock [pvg],29,0.7878787878787878,PARTIAL,26,7,3,NEEDS_REVIEW,
Various Artists,Various Artists - Biggest Pop Hits 1996-1997,36,Various Artists,Biggest Pop Hits 1996-1997,26,0.6944444444444444,PARTIAL,25,11,1,NEEDS_REVIEW,
Asia,Asia - Alpha _PVG Book_,11,Asia,Asia - Alpha [pvg Book],4,0.36363636363636365,POOR,4,7,0,NEEDS_REVIEW,
Avril Lavigne,Avril Lavigne - The Best Damn Thing _PVG Book_,12,Avril Lavigne,Avril Lavigne - The Best Damn Thing [pvg Book],4,0.3333333333333333,POOR,4,8,0,NEEDS_REVIEW,
Bob Dylan,Bob Dylan - Desire,9,Bob Dylan,Desire,9,0.3333333333333333,POOR,3,6,6,NEEDS_REVIEW,
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,22,Bonnie Raitt,Bonnie Raitt - Road Tested [pvg Book],7,0.22727272727272727,POOR,5,17,2,NEEDS_REVIEW,
Bonnie Tyler,Bonnie Tyler - Hot Songs,7,Bonnie Tyler,Bonnie Tyler - Hot Songs,3,0.42857142857142855,POOR,3,4,0,NEEDS_REVIEW,
Bruce Springsteen,Bruce Springsteen - Greatest Hits,13,Bruce Springsteen,Born In The Usa,13,0.23076923076923078,POOR,3,10,10,NEEDS_REVIEW,
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,28,Buddy Holly,Buddy Holly - Golden Anniversary Songbook,9,0.2857142857142857,POOR,8,20,1,NEEDS_REVIEW,
Burl Ives,Burl Ives - Song Book,106,Burl Ives,Burl Ives - Song Book,60,0.42452830188679247,POOR,45,61,15,NEEDS_REVIEW,
Burt Bacharach,Burt Bacharach - Anthology,33,Burt Bacharach,Anthology,33,0.45454545454545453,POOR,15,18,18,NEEDS_REVIEW,
Burt Bacharach,Burt Bacharach - Bacharach Collection,15,Burt Bacharach,Anthology,33,0.3333333333333333,POOR,5,10,28,NEEDS_REVIEW,
Carpenters,Carpenters - Anthology,43,Carpenters,Carpenters - Anthology,21,0.46511627906976744,POOR,20,23,1,NEEDS_REVIEW,
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,13,Colbie Caillat,Breakthrough [pvg Book],13,0.07692307692307693,POOR,1,12,12,NEEDS_REVIEW,
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,20,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,0.35,POOR,7,13,0,NEEDS_REVIEW,
Crosby Stills And Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,Crosby Stills And Nash,Crosby Stills Nash & Young - Deja Vu [pvg Book],32,0.47619047619047616,POOR,10,11,22,NEEDS_REVIEW,
Crowded House,Crowded House - The Very Best Of _PVG Book_,19,Crowded House,Crowded House - The Very Best Of [pvg Book],7,0.3684210526315789,POOR,7,12,0,NEEDS_REVIEW,
Crowded House,Crowded House - Together Alone _PVG Book_,13,Crowded House,Crowded House - Together Alone [pvg Book],6,0.46153846153846156,POOR,6,7,0,NEEDS_REVIEW,
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,22,Dire Straits,Dire Straits - Best Of Dire Straits [guitar Tab],6,0.22727272727272727,POOR,5,17,1,NEEDS_REVIEW,
Doobie Brothers,Doobie Brothers - Songs,9,Doobie Brothers,Doobie Brothers - Songs,4,0.4444444444444444,POOR,4,5,0,NEEDS_REVIEW,
Doors,Doors - Songbook,6,Doors,Doors - Songbook,2,0.3333333333333333,POOR,2,4,0,NEEDS_REVIEW,
Duran Duran,Duran Duran - Decade _PVG Book_,15,Duran Duran,Duran Duran - Decade [pvg Book],6,0.4,POOR,6,9,0,NEEDS_REVIEW,
Eagles,Eagles - New Eagles Complete,67,Eagles,Eagles - New Eagles Complete,27,0.3880597014925373,POOR,26,41,1,NEEDS_REVIEW,
Eagles,Eagles - The Best Of The Eagles - Songbook,12,Eagles,Eagles - New Eagles Complete,27,0.4166666666666667,POOR,5,7,22,NEEDS_REVIEW,
Elton John,Elton John - Reg Strikes Back,9,Elton John,Elton John - Reg Strikes Back,4,0.4444444444444444,POOR,4,5,0,NEEDS_REVIEW,
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Elton John,Greatest Hits 1970-2002,30,0.45454545454545453,POOR,10,12,20,NEEDS_REVIEW,
Elton John,Elton John - The Ultimate Collection Vol 1,59,Elton John,Greatest Hits 1970-2002,30,0.15254237288135594,POOR,9,50,21,NEEDS_REVIEW,
Elton John,Elton John - The Ultimate Collection Vol 2,29,Elton John,Elton John - Greatest Hits 1970-2002,19,0.1724137931034483,POOR,5,24,14,NEEDS_REVIEW,
Various Artists,Various Artists - Best Rock Songs 2000-2005,36,Various Artists,Best Rock Songs 2000-2005,18,0.4166666666666667,POOR,15,21,3,NEEDS_REVIEW,
Vince Guaraldi,Vince Guaraldi - The Vince Guaraldi Collection,9,Vince Guaraldi,Peanuts Songbook,28,0.3333333333333333,POOR,3,6,25,NEEDS_REVIEW,
Bread,Bread - Best Of Bread,4,,,0,0.0,NO MATCH,0,4,0,NEEDS_REVIEW,
Dr John,Dr John - New Orleans Piano Vol 2,3,,,0,0.0,NO MATCH,0,3,0,NEEDS_REVIEW,
Elton John,Elton John - Captain Fantastic,1,,,0,0.0,NO MATCH,0,1,0,NEEDS_REVIEW,
Herman's Hermits,Hermans Hermits - Collection,8,,,0,0.0,NO MATCH,0,8,0,NEEDS_REVIEW,
Various Artists,Various Artists - 50s And 60s,81,,,0,0.0,NO MATCH,0,81,0,NEEDS_REVIEW,
Various Artists,Various Artists - 70s Collection - _57pp_,18,,,0,0.0,NO MATCH,0,18,0,NEEDS_REVIEW,
Various Artists,Various Artists - Chart Hits 01-02,25,,,0,0.0,NO MATCH,0,25,0,NEEDS_REVIEW,
_movie And Tv,The Wizard Of Oz Script,20,,,0,0.0,NO MATCH,0,20,0,NEEDS_REVIEW,
