"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Whipping Post.pdf","Allman Brothers - Whipping Post.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Whipping Post.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Whipping Post.pdf"
"Allman Brothers","Allman Brothers Band [pvg]","Allman Brothers - Will The Circle Be Unbroken-.pdf","Allman Brothers - Will The Circle Be Unbroken-.pdf","False","Allman Brothers\Allman Brothers Band [pvg]\Songs\Allman Brothers - Will The Circle Be Unbroken-.pdf","Allman Brothers\books\Allman Brothers Band [pvg]\Allman Brothers - Will The Circle Be Unbroken-.pdf"
"Allman Brothers","Band Best [score]","From The Album -at Fillmore East- - Hot 'lanta.pdf","Allman Brothers - Hot 'lanta.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -at Fillmore East- - Hot 'lanta.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Hot 'lanta.pdf"
"Allman Brothers","Band Best [score]","From The Album -at Fillmore East- - Statesboro Blues.pdf","Allman Brothers - Statesboro Blues.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -at Fillmore East- - Statesboro Blues.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Statesboro Blues.pdf"
"Allman Brothers","Band Best [score]","From The Album -brothers And Sisters- - Wasted Words.pdf","Allman Brothers - Wasted Words.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -brothers And Sisters- - Wasted Words.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Wasted Words.pdf"
"Allman Brothers","Band Best [score]","From The Album -eat A Peach- - One Way Out.pdf","Allman Brothers - One Way Out.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -eat A Peach- - One Way Out.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - One Way Out.pdf"
"Allman Brothers","Band Best [score]","From The Album -eat A Peach- - Stand Back.pdf","Allman Brothers - Stand Back.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -eat A Peach- - Stand Back.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Stand Back.pdf"
"Allman Brothers","Band Best [score]","From The Album -idlewild South- - Don't Keep Me Wondering.pdf","Allman Brothers - Don't Keep Me Wondering.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -idlewild South- - Don't Keep Me Wondering.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Don't Keep Me Wondering.pdf"
"Allman Brothers","Band Best [score]","From The Album -idlewild South- - Midnight Rider.pdf","Allman Brothers - Midnight Rider.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -idlewild South- - Midnight Rider.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Midnight Rider.pdf"
"Allman Brothers","Band Best [score]","From The Album -the Allman Brothers Band- - Whipping Post.pdf","Allman Brothers - Whipping Post.pdf","True","Allman Brothers\Band Best [score]\Songs\From The Album -the Allman Brothers Band- - Whipping Post.pdf","Allman Brothers\books\Band Best [score]\Allman Brothers - Whipping Post.pdf"
