csv_artist,csv_book_name,csv_source_path,csv_book_id,csv_s3_uri,match_score,match_reason,db_book_id,db_artist,db_book_name,db_source_uri,db_status,book_id_match
Ben Folds,Ben Folds Five - Whatever And Ever Amen _Book_,Ben Folds\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,3fac0aeeba1b79b0,s3://jsmith-input/SheetMusic/Ben Folds/Ben Folds Five - Whatever And Ever Amen _Book_.pdf,0.991,artist:1.00 book:1.00 path:0.96,ben-folds-ben-folds-five-whatever-and-ever-amen-book,Ben Folds,Ben Folds Five - Whatever and Ever Amen [Book],s3://jsmith-input/SheetMusic/Ben Folds/books/Ben Folds Five - Whatever and Ever Amen [Book].pdf,success,NO
Billy Joel,Billy Joel - 52nd Street,Billy Joel\Billy Joel - 52nd Street.pdf,645516ed4b98d8c9,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - 52nd Street.pdf,0.987,artist:1.00 book:1.00 path:0.93,18bd367a8ec484b4,Billy Joel,Billy Joel - 52nd Street,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - 52nd Street.pdf,success,NO
Billy Joel,Billy Joel - Anthology,Billy Joel\Billy Joel - Anthology.pdf,70156eb19ddec997,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Anthology.pdf,0.986,artist:1.00 book:1.00 path:0.93,billy-joel---anthology,Billy Joel,Billy Joel - Anthology,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Anthology.pdf,success,NO
Billy Joel,Billy Joel - Best Of Piano Solos,Billy Joel\Billy Joel - Best Of Piano Solos.pdf,09ba1f7637720567,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Best Of Piano Solos.pdf,0.989,artist:1.00 book:1.00 path:0.95,e45b55ac836ab6cc,Billy Joel,Billy Joel - Best Of Piano Solos,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Best Of Piano Solos.pdf,success,NO
Billy Joel,Billy Joel - Complete Vol 1,Billy Joel\Billy Joel - Complete Vol 1.pdf,73942a3cd2152889,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Complete Vol 1.pdf,0.988,artist:1.00 book:1.00 path:0.94,billy-joel---complete-vol-1,Billy Joel,Billy Joel - Complete Vol 1,s3://jsmith-input/SheetMusic/Billy Joel/Books/Billy Joel - Complete Vol  1.pdf,failed,NO
Billy Joel,Billy Joel - Complete Vol 2,Billy Joel\Billy Joel - Complete Vol 2.pdf,d0452017783559a5,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Complete Vol 2.pdf,0.988,artist:1.00 book:1.00 path:0.94,d308b78682b1a2e6,Billy Joel,Billy Joel - Complete Vol 2,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Complete Vol 2.pdf,success,NO
Billy Joel,Billy Joel - Fantasies And Delusions,Billy Joel\Billy Joel - Fantasies And Delusions.pdf,9b1f02da8109b3cb,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Fantasies And Delusions.pdf,0.950,artist:1.00 book:0.94 path:0.91,billy-joel---fantasies--delusions,Billy Joel,Billy Joel - Fantasies & Delusions,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Fantasies & Delusions.pdf,success,NO
Billy Joel,Billy Joel - For Advanced Piano,Billy Joel\Billy Joel - For Advanced Piano.pdf,9ed736df8eeada5a,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - For Advanced Piano.pdf,0.989,artist:1.00 book:1.00 path:0.94,8dfd98e18b3a7740,Billy Joel,Billy Joel - For Advanced Piano,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - For Advanced Piano.pdf,success,NO
Billy Joel,Billy Joel - Glass Houses,Billy Joel\Billy Joel - Glass Houses.pdf,d3345dc00a89807c,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Glass Houses.pdf,0.987,artist:1.00 book:1.00 path:0.94,152ee1c9dc9f8411,Billy Joel,Billy Joel - Glass Houses,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Glass Houses.pdf,success,NO
Billy Joel,Billy Joel - Greatest Hits,Billy Joel\Billy Joel - Greatest Hits.pdf,095b230dceaff7b3,s3://jsmith-input/SheetMusic/Billy Joel/Billy Joel - Greatest Hits.pdf,0.987,artist:1.00 book:1.00 path:0.94,billy-joel---greatest-hits,Billy Joel,Billy Joel - Greatest Hits,s3://jsmith-input/SheetMusic/Billy Joel/books/Billy Joel - Greatest Hits.pdf,success,NO
