artist,book,is_duplicate,file_count
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,False,4
Creedence Clearwater Revival,Guitar Anthology,False,20
Creedence Clearwater Revival,Guitar Tab Book,False,1
Creedence Clearwater Revival,Ultimate Minus One,False,7
Crosby Stills And Nash,Crosby Stills Nash & Young - Deja Vu [pvg Book],False,32
Crowded House,Crowded House - The Very Best Of [pvg Book],False,7
Crowded House,Crowded House - Together Alone [pvg Book],False,6
Crowded House,The Very Best Of [pvg Book],False,19
Crowded House,Together Alone [pvg Book],False,13
David Crosby,Songbook [lead Sheets],False,1
Dire Straits,Best Of Dire Straits [guitar Tab],False,22
Dire Straits,Brothers In Arms,False,1
Dire Straits,Dire Straits - Best Of Dire Straits [guitar Tab],False,6
Dire Straits,Dire Straits - Mark Knopfler Guitar Styles Vol 1 [guitar Book],False,3
Dire Straits,Dire Straits - Money For Nothing [guitar Book],False,1
Dire Straits,Great Bands Of The 70s,False,1
Dire Straits,Jam With Dire Straits [guitar Book],False,8
Dire Straits,Money For Nothing [guitar Book],False,1
Don Henley,Actual Miles (greatest Hits),False,1
Don Henley,The End Of The Innocence [pvg Book],False,10
Doobie Brothers,Best Of [band Score Jap],False,1
Doobie Brothers,Doobie Brothers - Songs,False,4
Doobie Brothers,Songs,False,9
Doors,Anthology,False,7
Doors,Doors - Songbook,False,2
Doors,Songbook,False,6
Dr John,New Orleans Piano Vol 2,False,3
Dr. Hook,Great Bands Of The 70s,False,1
Duran Duran,Decade [pvg Book],False,14
Duran Duran,Duran Duran - Best Of [score],False,1
Duran Duran,Duran Duran - Decade [pvg Book],False,6
Duran Duran,Duran Duran - Seven & The Ragged Tiger [jap Band Score],False,5
Duran Duran,Seven & The Ragged Tiger [jap Band Score],False,8
Eagles,Eagles - Greatest Hits (1971-1975),False,2
Eagles,Eagles - Greatest Hits,False,3
Eagles,Eagles - The Best Of The Eagles - Songbook,False,3
Eagles,Greatest Hits (1971-1975),False,10
Eagles,Greatest Hits,False,10
Eagles,Hotel California (guitar Songbook),False,1
Eagles,Made Easy For Guitar,False,6
Eagles,New Eagles Complete,False,67
Eagles,The Best Of The Eagles - Songbook,False,12
Elo,A New World Record,False,7
Elo,Discovery [pvg Book],False,1
Elo,Elo - A New World Record,False,1
Elo,Elo - Anthology [pvg],False,15
Elo,Elo - Out Of The Blue [book],False,1
Elo,Face The Music [pvg Bok],False,2
Elo,Greatest Hits,False,1
Elo,Out Of The Blue [book],False,1
Elton John,A Single Man,False,10
Elton John,Captain Fantastic,False,1
Elton John,Elton John - Reg Strikes Back,False,4
Elton John,Elton John - The Ultimate Collection Vol. 1,False,19
Elton John,Elton John - The Ultimate Collection Vol. 2,False,19
Elton John,Elton John - The Very Best Of,False,1
Elton John,Elton John - Too Low For Zero [book],False,7
Elton John,Goodbye Yellow Brick Road,False,1
Elton John,Greatest Hits 1970-2002,False,30
Elton John,Ice On Fire,False,11
Elton John,Made In England,False,11
Elton John,Peachtree Road,False,10
Elton John,Reg Strikes Back,False,9
Elton John,Sleeping With The Past,False,1
Elton John,Songs From The West Coast,False,1
Elton John,The Big Picture,False,1
Elton John,The One,False,1
Elton John,The Ultimate Collection Vol. 1,False,58
Elton John,The Ultimate Collection Vol. 2,False,29
Elton John,The Very Best Of,False,1
Elvis Costello,Elvis Costello - The Very Best Of,False,19
Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,False,1
Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,False,5
Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus [book],False,6
Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy [book],False,4
Eric Clapton,Eric Clapton - Derek And The Dominos [book],False,10
Eric Clapton,Eric Clapton - The Best Of Book,False,6
Eric Clapton,Eric Clapton - Unplugged [book],False,5
Fleetwood Mac,Fleetwood Mac - Anthology,False,22
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,False,4
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac + Heroes Are Hard To Find,False,9
Fleetwood Mac,Fleetwood Mac - Mirage,False,7
Fleetwood Mac,Fleetwood Mac - Rumours,False,5
Fleetwood Mac,Fleetwood Mac - Tango In The Night,False,3
Fleetwood Mac,Fleetwood Mac - The Dance,False,5
Fleetwood Mac,Rumours,False,11
Frank Zappa,Frank Zappa - Songbook Vol 1,False,4
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book (transcriptions By Steve Vai),False,9
Fray,How To Save A Life [book],False,1
Garth Brooks,Garth Brooks - No Fences [guitar Tab],False,2
Garth Brooks,Garth Brooks - The Limited Series,False,13
Garth Brooks,The Hits [guitar Tab],False,1
Genesis,Genesis - A Trick Of The Tail [book],False,4
Genesis,Genesis - Anthology,False,16
Genesis,Genesis - Best Of Vol 1,False,7
Genesis,Genesis - Invisible Touch [book],False,4
Genesis,Genesis - Rock Score,False,3
Genesis,Genesis - Seconds Out,False,6
Genesis,Genesis - Selling England By The Pound,False,4
Genesis,Rock Score,False,4
George Michael,George Michael - Greatest Hits,False,10
George Michael,George Michael - Older [book],False,8
Grand Funk Railroad,Grand Funk Railroad - Born To Die [pvg Book],False,6
Grand Funk Railroad,"Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [pvg]",False,19
Harry Chapin,Harry Chapin - The Authentic Guitar Style Of [guitar Tab],False,2
Herman's Hermits,Collection,False,11
Herman's Hermits,Herman's Hermits - Collection,False,1
Jackson Browne,Jackson Browne - Deluxe Anthology,False,38
James Blunt,James Blunt - All The Lost Souls [book],False,3
James Blunt,James Blunt - Back To Bedlam [book],False,1
