BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Bonnie Tyler/Bonnie Tyler - Hot Songs,Bonnie Tyler/Hot Songs,3,3,Yes,2
Bonnie Tyler/Hot Songs,Bonnie Tyler/Hot Songs,7,7,Yes,2
Bread/Best Of Bread,Bread/Best Of Bread,4,4,Yes,2
Bread/Bread - Best Of Bread,Bread/Best Of Bread,3,3,Yes,2
Bruce Springsteen/Born In The Usa,Bruce Springsteen/Born In The Usa,13,13,Yes,2
Bruce Springsteen/Born To Run,Bruce Springsteen/Born To Run,8,8,Yes,2
Bruce Springsteen/Bruce Springsteen - Born In The Usa,Bruce Springsteen/Born In The Usa,5,5,Yes,2
Bruce Springsteen/Bruce Springsteen - Born To Run,Bruce Springsteen/Born To Run,7,7,Yes,2
Bruce Springsteen/Bruce Springsteen - Lucky Town,Bruce Springsteen/Lucky Town,2,2,Yes,2
Bruce Springsteen/Greatest Hits,Bruce Springsteen/Greatest Hits,13,13,No,1
Bruce Springsteen/Lucky Town,Bruce Springsteen/Lucky Town,9,9,Yes,2
Buddy Holly/Buddy Holly - Golden Anniversary Songbook,Buddy Holly/Golden Anniversary Songbook,9,9,Yes,2
Buddy Holly/Golden Anniversary Songbook,Buddy Holly/Golden Anniversary Songbook,27,27,Yes,2
Burl Ives/Burl Ives - Song Book,Burl Ives/Song Book,60,60,Yes,2
Burl Ives/Song Book,Burl Ives/Song Book,107,107,Yes,2
Burt Bacharach/40 Golden Songs Of,Burt Bacharach/40 Golden Songs Of,39,39,Yes,2
Burt Bacharach/Anthology,Burt Bacharach/Anthology,33,33,Yes,2
Burt Bacharach/Bacharach Collection,Burt Bacharach/Bacharach Collection,15,15,Yes,2
Burt Bacharach/Burt Bacharach - 40 Golden Songs Of,Burt Bacharach/40 Golden Songs Of,29,29,Yes,2
Burt Bacharach/Burt Bacharach - Anthology,Burt Bacharach/Anthology,15,15,Yes,2
Burt Bacharach/Burt Bacharach - Bacharach Collection,Burt Bacharach/Bacharach Collection,4,4,Yes,2
Carole King/Bradley's Best Of The Best (organ),Carole King/Bradley's Best Of The Best (organ),13,13,Yes,2
Carole King/Carole King - Bradley's Best Of The Best (organ),Carole King/Bradley's Best Of The Best (organ),7,7,Yes,2
Carole King/Carole King - Classics,Carole King/Classics,15,15,Yes,2
Carole King/Carole King - Classics (2),Carole King/Classics (2),30,30,Yes,2
Carole King/Carole King - Classics (3),Carole King/Classics (3),27,27,Yes,2
Carole King/Carole King - Keyboard Play-along Vol 22,Carole King/Keyboard Play-along Vol 22,3,3,Yes,2
Carole King/Carole King - Tapestry,Carole King/Tapestry,9,9,Yes,2
Carole King/Carole King - The New Best Of Carole King,Carole King/The New Best Of Carole King,4,4,Yes,2
Carole King/Carole King - You're The Voice,Carole King/You're The Voice,1,1,Yes,2
Carole King/Classics,Carole King/Classics,21,21,Yes,2
Carole King/Classics (2),Carole King/Classics (2),35,35,Yes,2
Carole King/Classics (3),Carole King/Classics (3),35,35,Yes,2
Carole King/Keyboard Play-along Vol 22,Carole King/Keyboard Play-along Vol 22,8,8,Yes,2
Carole King/Tapestry,Carole King/Tapestry,12,12,Yes,2
Carole King/The New Best Of Carole King,Carole King/The New Best Of Carole King,19,19,Yes,2
Carole King/You're The Voice,Carole King/You're The Voice,11,11,Yes,2
Carpenters/Anthology,Carpenters/Anthology,43,43,Yes,2
Carpenters/Carpenters - Anthology,Carpenters/Anthology,21,21,Yes,2
Carpenters/Carpenters - Love Songs,Carpenters/Love Songs,19,19,Yes,2
Carpenters/Carpenters - Note For Note,Carpenters/Note For Note,2,2,Yes,2
Carpenters/Love Songs,Carpenters/Love Songs,22,22,Yes,2
Carpenters/Note For Note,Carpenters/Note For Note,11,11,Yes,2
Cheap Trick/Cheap Trick - Greatest Hits [score],Cheap Trick/Greatest Hits [score],1,1,Yes,2
Cheap Trick/Greatest Hits [score],Cheap Trick/Greatest Hits [score],1,1,Yes,2
Chicago/Great Bands Of The 70s,Chicago/Great Bands Of The 70s,1,1,No,1
Colbie Caillat/Breakthrough [pvg Book],Colbie Caillat/Breakthrough [pvg Book],13,13,Yes,2
Colbie Caillat/Colbie Caillat - Breakthrough [pvg Book],Colbie Caillat/Breakthrough [pvg Book],1,1,Yes,2
Cole Porter/Cole Porter - The Very Best Of Cole Porter,Cole Porter/The Very Best Of Cole Porter,34,34,Yes,2
Cole Porter/The Very Best Of Cole Porter,Cole Porter/The Very Best Of Cole Porter,38,38,Yes,2
Cream/Cream - Cream Complete,Cream/Cream Complete,20,20,Yes,2
Cream/Cream Complete,Cream/Cream Complete,25,25,Yes,2
Creedence Clearwater Revival/8 Pcs Book,Creedence Clearwater Revival/8 Pcs Book,8,8,Yes,2
Creedence Clearwater Revival/Best Of,Creedence Clearwater Revival/Best Of,20,20,Yes,2
Creedence Clearwater Revival/Creedence Clearwater Revival - 8 Pcs Book,Creedence Clearwater Revival/8 Pcs Book,5,5,Yes,2
Creedence Clearwater Revival/Creedence Clearwater Revival - Best Of,Creedence Clearwater Revival/Best Of,13,13,Yes,2
Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Anthology,Creedence Clearwater Revival/Guitar Anthology,6,6,Yes,2
Creedence Clearwater Revival/Creedence Clearwater Revival - Guitar Tab Book,Creedence Clearwater Revival/Guitar Tab Book,7,7,Yes,2
Creedence Clearwater Revival/Creedence Clearwater Revival - Ultimate Minus One,Creedence Clearwater Revival/Ultimate Minus One,4,4,Yes,2
Creedence Clearwater Revival/Guitar Anthology,Creedence Clearwater Revival/Guitar Anthology,20,20,Yes,2
Creedence Clearwater Revival/Guitar Tab Book,Creedence Clearwater Revival/Guitar Tab Book,1,1,Yes,2
Creedence Clearwater Revival/Ultimate Minus One,Creedence Clearwater Revival/Ultimate Minus One,7,7,Yes,2
Crosby Stills And Nash/Crosby Stills Nash & Young - Deja Vu [pvg Book],Crosby Stills And Nash/Crosby Stills Nash & Young - Deja Vu [pvg Book],32,32,No,1
Crowded House/Crowded House - The Very Best Of [pvg Book],Crowded House/The Very Best Of [pvg Book],7,7,Yes,2
Crowded House/Crowded House - Together Alone [pvg Book],Crowded House/Together Alone [pvg Book],6,6,Yes,2
Crowded House/The Very Best Of [pvg Book],Crowded House/The Very Best Of [pvg Book],19,19,Yes,2
