Artist,Book,SongCount,SampleSong
Burt Bacharach,Burt Bacharach - Bacharach Collection,4,Unknown Artist - A Message To Michael.pdf
Carole King,Bradley's Best Of The Best (organ),13,Carole Bayer Sager - Wasn't Born To Follow.pdf
Carole King,Carole King - Bradley's Best Of The Best (organ),7,Carole King - Child Of Mine.pdf
Carole King,Carole King - Classics,15,Carole King - Beautiful.pdf
Carole King,Carole King - Classics (2),30,Carole King - (you Make Me Feel Like A) Natural Woman.pdf
Carole King,Carole King - Classics (3),27,Carole King - (you Make Me Feel Like A) Natural Woman.pdf
Carole King,Carole King - Keyboard Play-along Vol 22,3,Carole King - I Feel The Earth Move.pdf
Carole King,Carole King - Tapestry,9,Carole King - (you Make Me Feel Like) A Natural Woman.pdf
Carole King,Carole King - The New Best Of Carole King,4,Carole King - Take Good Care Of My Baby.pdf
Carole King,Carole King - You're The Voice,1,Carole King - Beautiful.pdf
Carole King,Classics,21,(words And Music By Gerry Goffin And Carole King) - Up On The Roof.pdf
Carole King,Classics (2),35,(words And Music By Gerry Goffin And Carole King) - Up On The Roof.pdf
Carole King,Classics (3),35,(words And Music By Gerry Goffin And Carole King) - Up On The Roof.pdf
Carole King,Keyboard Play-along Vol 22,8,Carole King - I Feel The Earth Move.pdf
Carole King,Tapestry,12,Carole King - Beautiful.pdf
Carole King,The New Best Of Carole King,19,Carole King - I Feel The Earth Move.pdf
Carole King,You're The Voice,11,Carole King - Beautiful.pdf
Carpenters,Anthology,43,Arthur Kent - The End Of The World.pdf
Carpenters,Carpenters - Anthology,21,Carpenters - All You Get From Love Is A Love Song.pdf
Carpenters,Carpenters - Love Songs,19,Carpenters - (they Long To Be) Close To You.pdf
Carpenters,Carpenters - Note For Note,2,Carpenters - (they Long To Be) Close To You.pdf
Carpenters,Love Songs,22,"Edward Heyman (words), Victor Young (music) - When I Fall In Love.pdf"
Carpenters,Note For Note,11,"Barry Devorzon And Perry Botkin, Jr - Bless The Beasts And Children.pdf"
Cheap Trick,Cheap Trick - Greatest Hits [score],1,Cheap Trick - Dream Police.pdf
Cheap Trick,Greatest Hits [score],1,Rick Nielsen - Dream Police.pdf
Chicago,Great Bands Of The 70s,1,Chicago - 25 Or 6 To 4.pdf
Colbie Caillat,Breakthrough [pvg Book],13,Colbie Caillat - Breakthrough.pdf
Colbie Caillat,Colbie Caillat - Breakthrough [pvg Book],1,Colbie Caillat - It Stops Today.pdf
Cole Porter,Cole Porter - The Very Best Of Cole Porter,34,Cole Porter - All Of You.pdf
Cole Porter,The Very Best Of Cole Porter,38,(from -broadway Melody Of 1940-) - I Concentrate On You.pdf
Cream,Cream - Cream Complete,20,Cream - As You Said.pdf
Cream,Cream Complete,25,Gene Raskin Mike Taylor - Those Were The Days.pdf
Creedence Clearwater Revival,8 Pcs Book,8,John C. Fogerty - Commotion.pdf
Creedence Clearwater Revival,Best Of,20,J C Fogerty - Hey Tonight.pdf
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,5,Creedence Clearwater Revival - Bedroom Rising.pdf
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,13,Creedence Clearwater Revival - Bad Moon Rising.pdf
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,6,"Creedence Clearwater Revival - Hey, Tonight.pdf"
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,Creedence Clearwater Revival - Born On The Bayou.pdf
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,4,Creedence Clearwater Revival - Down On The Corner.pdf
Creedence Clearwater Revival,Guitar Anthology,20,"D. Hawkins, S.j Lewis And E. Broadwater - Susie-q.pdf"
Creedence Clearwater Revival,Guitar Tab Book,1,J.c. Fogerty - Proud Mary.pdf
Creedence Clearwater Revival,Ultimate Minus One,7,J. C. Fogerty - Fortunate Son.pdf
Crosby Stills And Nash,Crosby Stills Nash & Young - Deja Vu [pvg Book],32,Crosby Stills And Nash - 49 Bye-byes.pdf
Crowded House,Crowded House - The Very Best Of [pvg Book],7,Crowded House - Everything Is Good For You.pdf
Crowded House,Crowded House - Together Alone [pvg Book],6,Crowded House - Black And White Boy.pdf
Crowded House,The Very Best Of [pvg Book],19,Nat Finn - Mean To Me.pdf
Crowded House,Together Alone [pvg Book],13,Neil Finn - Black And White Boy.pdf
David Crosby,David Crosby - Songbook [lead Sheets],1,David Crosby - Everybody's Been Burned.pdf
David Crosby,Songbook [lead Sheets],1,David Crosby - Everybody's Been Burned.pdf
Dire Straits,Best Of Dire Straits [guitar Tab],22,Mark Knopfler & Sting - Money For Nothing.pdf
