BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
Bob Dylan - Rock Score,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Rock Score.pdf,SheetMusic\Bob Dylan\Bob Dylan - Rock Score.pdf,False,True
Bob Dylan - Saved,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Saved.pdf,SheetMusic\Bob Dylan\Bob Dylan - Saved.pdf,False,True
Bob Dylan - Songbook,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - Songbook.pdf,SheetMusic\Bob Dylan\Bob Dylan - Songbook.pdf,False,True
Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,Bob Dylan,Bob Dylan,SheetMusic\Bob Dylan\Books\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_.pdf,SheetMusic\Bob Dylan\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_.pdf,False,True
Bob Seger - Greatest Hits,Bob Seger,Bob Seger,SheetMusic\Bob Seger\Books\Bob Seger - Greatest Hits.pdf,SheetMusic\Bob Seger\Bob Seger - Greatest Hits.pdf,False,True
Bob Seger - The New Best Of Bob Seger,Bob Seger,Bob Seger,SheetMusic\Bob Seger\Books\Bob Seger - The New Best Of Bob Seger.pdf,SheetMusic\Bob Seger\Bob Seger - The New Best Of Bob Seger.pdf,False,True
Bon Jovi - Best Of Bon Jovi,Bon Jovi,Bon Jovi,SheetMusic\Bon Jovi\Books\Bon Jovi - Best Of Bon Jovi.pdf,SheetMusic\Bon Jovi\Bon Jovi - Best Of Bon Jovi.pdf,False,True
Bonnie Raitt - Nick Of Time _PVG Book_,Bonnie Raitt,Bonnie Raitt,SheetMusic\Bonnie Raitt\Books\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,SheetMusic\Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,False,True
Bonnie Raitt - Road Tested _PVG Book_,Bonnie Raitt,Bonnie Raitt,SheetMusic\Bonnie Raitt\Books\Bonnie Raitt - Road Tested _PVG Book_.pdf,SheetMusic\Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_.pdf,False,True
Bonnie Tyler - Hot Songs,Bonnie Tyler,Bonnie Tyler,SheetMusic\Bonnie Tyler\Books\Bonnie Tyler - Hot Songs.pdf,SheetMusic\Bonnie Tyler\Bonnie Tyler - Hot Songs.pdf,False,True
