Artist,BookName,SourcePath,SourceExists,ProcessedFolderName,ProcessedPath,ProcessedExists,FileCount,Status
Billy Joel,Billy Joel - Greatest Hits Vol III,Billy Joel\Billy Joel - Greatest Hits Vol III.pdf,YES,Billy Joel - Greatest Hits Vol III,Billy Joel\Billy Joel - Greatest Hits Vol III,YES,1,COMPLETE
Billy Joel,Billy Joel - Keyboard Book,Billy Joel\Billy Joel - Keyboard Book.pdf,YES,Billy Joel - Keyboard Book,Billy Joel\Billy Joel - Keyboard Book,YES,15,COMPLETE
Billy Joel,Billy Joel - My Lives,Billy Joel\Billy Joel - My Lives.pdf,YES,Billy Joel - My Lives,Billy Joel\Billy Joel - My Lives,YES,72,COMPLETE
Billy Joel,Billy Joel - Rock Score,Billy Joel\Billy Joel - Rock Score.pdf,YES,Billy Joel - Rock Score,Billy Joel\Billy Joel - Rock Score,YES,8,COMPLETE
Billy Joel,Billy Joel - Songs In The Attic,Billy Joel\Billy Joel - Songs In The Attic.pdf,YES,Billy Joel - Songs In The Attic,Billy Joel\Billy Joel - Songs In The Attic,YES,11,COMPLETE
Billy Joel,Billy Joel - Turnstiles,Billy Joel\Billy Joel - Turnstiles.pdf,YES,Billy Joel - Turnstiles,Billy Joel\Billy Joel - Turnstiles,YES,8,COMPLETE
Billy Joel,Billy Joel Greatest Hits Vols 1 And 2,Billy Joel\Billy Joel Greatest Hits Vols 1 And 2.pdf,YES,Billy Joel Greatest Hits Vols 1 And 2,Billy Joel\Billy Joel Greatest Hits Vols 1 And 2,YES,11,COMPLETE
Billy Ocean,Billy Ocean - The Best Of,Billy Ocean\Billy Ocean - The Best Of.pdf,YES,Billy Ocean - The Best Of,Billy Ocean\Billy Ocean - The Best Of,YES,10,COMPLETE
Black Eyed Peas,Black Eyed Peas - Elephunk _PVG Book_,Black Eyed Peas\Black Eyed Peas - Elephunk _PVG Book_.pdf,YES,Black Eyed Peas - Elephunk _PVG Book_,Black Eyed Peas\Black Eyed Peas - Elephunk _PVG Book_,YES,11,COMPLETE
Blues Brothers,Blues Brothers - Complete,Blues Brothers\Blues Brothers - Complete.pdf,YES,Blues Brothers - Complete,Blues Brothers\Blues Brothers - Complete,YES,12,COMPLETE
Bob Dylan,Bob Dylan - Anthology,Bob Dylan\Bob Dylan - Anthology.pdf,YES,Bob Dylan - Anthology,Bob Dylan\Bob Dylan - Anthology,YES,46,COMPLETE
Bob Dylan,Bob Dylan - Anthology 1,Bob Dylan\Bob Dylan - Anthology 1.pdf,YES,Bob Dylan - Anthology 1,Bob Dylan\Bob Dylan - Anthology 1,YES,46,COMPLETE
Bob Dylan,Bob Dylan - Anthology 2,Bob Dylan\Bob Dylan - Anthology 2.pdf,YES,Bob Dylan - Anthology 2,Bob Dylan\Bob Dylan - Anthology 2,YES,51,COMPLETE
Bob Dylan,Bob Dylan - Basement Tapes _PVG_,Bob Dylan\Bob Dylan - Basement Tapes _PVG_.pdf,YES,Bob Dylan - Basement Tapes _PVG_,Bob Dylan\Bob Dylan - Basement Tapes _PVG_,YES,24,COMPLETE
Bob Dylan,Bob Dylan - Blonde On Blonde,Bob Dylan\Bob Dylan - Blonde On Blonde.pdf,YES,Bob Dylan - Blonde On Blonde,Bob Dylan\Bob Dylan - Blonde On Blonde,YES,13,COMPLETE
Bob Dylan,Bob Dylan - Collection,Bob Dylan\Bob Dylan - Collection.pdf,YES,Bob Dylan - Collection,Bob Dylan\Bob Dylan - Collection,YES,47,COMPLETE
Bob Dylan,Bob Dylan - Desire,Bob Dylan\Bob Dylan - Desire.pdf,YES,Bob Dylan - Desire,Bob Dylan\Bob Dylan - Desire,YES,9,COMPLETE
Bob Dylan,Bob Dylan - Finger Picking,Bob Dylan\Bob Dylan - Finger Picking.pdf,YES,Bob Dylan - Finger Picking,Bob Dylan\Bob Dylan - Finger Picking,YES,14,COMPLETE
Bob Dylan,Bob Dylan - Highway 61 Revisited,Bob Dylan\Bob Dylan - Highway 61 Revisited.pdf,YES,Bob Dylan - Highway 61 Revisited,Bob Dylan\Bob Dylan - Highway 61 Revisited,YES,10,COMPLETE
Bob Dylan,Bob Dylan - Nashville Skyline,Bob Dylan\Bob Dylan - Nashville Skyline.pdf,YES,Bob Dylan - Nashville Skyline,Bob Dylan\Bob Dylan - Nashville Skyline,YES,1,COMPLETE
Bob Dylan,Bob Dylan - Rock Score,Bob Dylan\Bob Dylan - Rock Score.pdf,YES,Bob Dylan - Rock Score,Bob Dylan\Bob Dylan - Rock Score,YES,6,COMPLETE
Bob Dylan,Bob Dylan - Saved,Bob Dylan\Bob Dylan - Saved.pdf,YES,Bob Dylan - Saved,Bob Dylan\Bob Dylan - Saved,YES,8,COMPLETE
Bob Dylan,Bob Dylan - Songbook,Bob Dylan\Bob Dylan - Songbook.pdf,YES,Bob Dylan - Songbook,Bob Dylan\Bob Dylan - Songbook,YES,47,COMPLETE
Bob Dylan,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,Bob Dylan\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_.pdf,YES,Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,Bob Dylan\Bob Dylan - The Harp Styles Of Bob Dylan _Harmonica_,YES,12,COMPLETE
Bob Seger,Bob Seger - Greatest Hits,Bob Seger\Bob Seger - Greatest Hits.pdf,YES,Bob Seger - Greatest Hits,Bob Seger\Bob Seger - Greatest Hits,YES,14,COMPLETE
Bob Seger,Bob Seger - The New Best Of Bob Seger,Bob Seger\Bob Seger - The New Best Of Bob Seger.pdf,YES,Bob Seger - The New Best Of Bob Seger,Bob Seger\Bob Seger - The New Best Of Bob Seger,YES,5,COMPLETE
Bon Jovi,Bon Jovi - Best Of Bon Jovi,Bon Jovi\Bon Jovi - Best Of Bon Jovi.pdf,YES,Bon Jovi - Best Of Bon Jovi,Bon Jovi\Bon Jovi - Best Of Bon Jovi,YES,19,COMPLETE
Bonnie Raitt,Bonnie Raitt - Nick Of Time _PVG Book_,Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_.pdf,YES,Bonnie Raitt - Nick Of Time _PVG Book_,Bonnie Raitt\Bonnie Raitt - Nick Of Time _PVG Book_,YES,1,COMPLETE
Bonnie Raitt,Bonnie Raitt - Road Tested _PVG Book_,Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_.pdf,YES,Bonnie Raitt - Road Tested _PVG Book_,Bonnie Raitt\Bonnie Raitt - Road Tested _PVG Book_,YES,22,COMPLETE
Bonnie Tyler,Bonnie Tyler - Hot Songs,Bonnie Tyler\Bonnie Tyler - Hot Songs.pdf,YES,Bonnie Tyler - Hot Songs,Bonnie Tyler\Bonnie Tyler - Hot Songs,YES,7,COMPLETE
Bread,Bread - Best Of Bread,Bread\Bread - Best Of Bread.pdf,YES,Bread - Best Of Bread,Bread\Bread - Best Of Bread,YES,4,COMPLETE
Bruce Springsteen,Bruce Springsteen - Born In The USA,Bruce Springsteen\Bruce Springsteen - Born In The USA.pdf,YES,Bruce Springsteen - Born In The USA,Bruce Springsteen\Bruce Springsteen - Born In The USA,YES,13,COMPLETE
Bruce Springsteen,Bruce Springsteen - Born To Run,Bruce Springsteen\Bruce Springsteen - Born To Run.pdf,YES,Bruce Springsteen - Born To Run,Bruce Springsteen\Bruce Springsteen - Born To Run,YES,8,COMPLETE
