"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"Fleetwood Mac","Fleetwood Mac - Mirage","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Mirage.pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - Rumours","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Rumours.pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - Tango In The Night","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - Tango In The Night.pdf","False","False","Missing"
"Fleetwood Mac","Fleetwood Mac - The Dance","C:\Work\AWSMusic\SheetMusic\Fleetwood Mac\Books\Fleetwood Mac - The Dance.pdf","False","False","Missing"
"Frank Zappa","Frank Zappa - Hot Rats","C:\Work\AWSMusic\SheetMusic\Frank Zappa\Books\Frank Zappa - Hot Rats.pdf","True","True","Complete"
"Frank Zappa","Frank Zappa - Songbook Vol 1","C:\Work\AWSMusic\SheetMusic\Frank Zappa\Books\Frank Zappa - Songbook Vol 1.pdf","False","False","Missing"
"Frank Zappa","Frank Zappa - The Frank Zappa Guitar Book (transcriptions by Steve Vai)","C:\Work\AWSMusic\SheetMusic\Frank Zappa\Books\Frank Zappa - The Frank Zappa Guitar Book (transcriptions by Steve Vai).pdf","False","False","Missing"
"Fray","Fray - How To Save A Life [Book]","C:\Work\AWSMusic\SheetMusic\Fray\Books\Fray - How To Save A Life [Book].pdf","False","False","Missing"
"Garth Brooks","Garth Brooks - No Fences [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Garth Brooks\Books\Garth Brooks - No Fences [Guitar Tab].pdf","False","False","Missing"
"Garth Brooks","Garth Brooks - The Hits [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Garth Brooks\Books\Garth Brooks - The Hits [Guitar Tab].pdf","True","False","Empty"
"Garth Brooks","Garth Brooks - The Limited Series","C:\Work\AWSMusic\SheetMusic\Garth Brooks\Books\Garth Brooks - The Limited Series.pdf","False","False","Missing"
"Genesis","Genesis - A Trick Of The Tail [Book]","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - A Trick Of The Tail [Book].pdf","False","False","Missing"
"Genesis","Genesis - Anthology","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Anthology.pdf","False","False","Missing"
"Genesis","Genesis - Best Of Vol 1","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Best Of Vol 1.pdf","False","False","Missing"
"Genesis","Genesis - Invisible Touch [Book]","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Invisible Touch [Book].pdf","False","False","Missing"
"Genesis","Genesis - Rock Score","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Rock Score.pdf","False","False","Missing"
"Genesis","Genesis - Seconds Out","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Seconds Out.pdf","False","False","Missing"
"Genesis","Genesis - Selling England by the Pound","C:\Work\AWSMusic\SheetMusic\Genesis\Books\Genesis - Selling England by the Pound.pdf","False","False","Missing"
"George Michael","George Michael - Greatest Hits","C:\Work\AWSMusic\SheetMusic\George Michael\Books\George Michael - Greatest Hits.pdf","False","False","Missing"
"George Michael","George Michael - Older [Book]","C:\Work\AWSMusic\SheetMusic\George Michael\Books\George Michael - Older [Book] .pdf","False","False","Missing"
"Grand Funk Railroad","Grand Funk - Closer To Home [PVG Book]","C:\Work\AWSMusic\SheetMusic\Grand Funk Railroad\Books\Grand Funk - Closer To Home [PVG Book].pdf","True","False","Empty"
"Grand Funk Railroad","Grand Funk - We're An American Band [PVG Book]","C:\Work\AWSMusic\SheetMusic\Grand Funk Railroad\Books\Grand Funk - We're An American Band [PVG Book].pdf","True","False","Empty"
"Grand Funk Railroad","Grand Funk Railroad - Born To Die [PVG Book]","C:\Work\AWSMusic\SheetMusic\Grand Funk Railroad\Books\Grand Funk Railroad - Born To Die [PVG Book].pdf","False","False","Missing"
"Grand Funk Railroad","Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [PVG]","C:\Work\AWSMusic\SheetMusic\Grand Funk Railroad\Books\Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [PVG].pdf","False","False","Missing"
"Harry Chapin","Harry Chapin - The Authentic Guitar Style Of [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Harry Chapin\Books\Harry Chapin - The Authentic Guitar Style Of [Guitar Tab].pdf","False","False","Missing"
"Henri Mancini","Henry Mancini - A Merry Mancini Christmas","C:\Work\AWSMusic\SheetMusic\Henri Mancini\Books\Henry Mancini - A Merry Mancini Christmas.pdf","True","True","Complete"
"Herman's Hermits","Herman's Hermits -  Collection","C:\Work\AWSMusic\SheetMusic\Herman's Hermits\Books\Herman's Hermits -  Collection.pdf","False","False","Missing"
"Jackson Browne","Jackson Browne - Deluxe Anthology","C:\Work\AWSMusic\SheetMusic\Jackson Browne\Books\Jackson Browne - Deluxe Anthology.pdf","False","False","Missing"
"James Blunt","James Blunt - All The Lost Souls [Book]","C:\Work\AWSMusic\SheetMusic\James Blunt\Books\James Blunt - All The Lost Souls [Book].pdf","False","False","Missing"
"James Blunt","James Blunt - Back to Bedlam [Book]","C:\Work\AWSMusic\SheetMusic\James Blunt\Books\James Blunt - Back to Bedlam [Book].pdf","False","False","Missing"
"James Taylor","James Taylor - Classic [Guitar]","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - Classic [Guitar].pdf","False","False","Missing"
"James Taylor","James Taylor - Classics (guitar tab)","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - Classics (guitar tab).pdf","False","False","Missing"
"James Taylor","James Taylor - Guitar Songbook","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - Guitar Songbook.pdf","False","False","Missing"
