artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,1,MISSING,,,No matching folder found in S3
Don Henley,Don Henley - Actual Miles _Greatest Hits_,3,MISSING,,,No matching folder found in S3
Don Henley,Don Henley - The End Of The Innocence _PVG Book_,10,MISSING,,,No matching folder found in S3
Doobie Brothers,Doobie Brothers - Best Of _Band Score Jap_,1,MISSING,,,No matching folder found in S3
Doobie Brothers,Doobie Brothers - Songs,9,DUPLICATE,Songs,Doobie Brothers - Songs,"Keep 9 songs, delete 4 songs from 1 folders"
Doors,Doors - Anthology,12,DUPLICATE,Anthology,Doors - Anthology,"Keep 7 songs, delete 7 songs from 1 folders"
Doors,Doors - Songbook,6,DUPLICATE,Songbook,Doors - Songbook,"Keep 6 songs, delete 2 songs from 1 folders"
Dr John,Dr John - New Orleans Piano Vol 2,3,OK,New Orleans Piano Vol 2,,"Single folder, 3 songs"
Duran Duran,Duran Duran - Best Of _Score_,12,MISSING,,,No matching folder found in S3
Duran Duran,Duran Duran - Decade _PVG Book_,15,MISSING,,,No matching folder found in S3
Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8,MISSING,,,No matching folder found in S3
ELO,ELO - A New World Record,7,MISSING,,,No matching folder found in S3
ELO,ELO - Greatest Hits,2,MISSING,,,No matching folder found in S3
ELO,Elo - Anthology _PVG_,32,MISSING,,,No matching folder found in S3
ELO,Elo - Discovery _PVG Book_,1,MISSING,,,No matching folder found in S3
ELO,Elo - Face The Music _PVG Bok_,2,MISSING,,,No matching folder found in S3
ELO,Elo - Out Of The Blue _Book_,1,MISSING,,,No matching folder found in S3
Eagles,Eagles - Greatest Hits,10,DUPLICATE,Greatest Hits,Eagles - Greatest Hits | Eagles - Greatest Hits (1971-1975),"Keep 10 songs, delete 5 songs from 2 folders"
Eagles,Eagles - Greatest Hits _1971-1975_,10,DUPLICATE,Greatest Hits,Eagles - Greatest Hits,"Keep 10 songs, delete 3 songs from 1 folders"
Eagles,Eagles - Hotel California _Guitar Songbook_,1,MISSING,,,No matching folder found in S3
Eagles,Eagles - Made Easy For Guitar,6,DUPLICATE,Made Easy For Guitar,Eagles - Made Easy For Guitar,"Keep 6 songs, delete 4 songs from 1 folders"
Eagles,Eagles - New Eagles Complete,67,DUPLICATE,New Eagles Complete,Eagles - New Eagles Complete,"Keep 67 songs, delete 27 songs from 1 folders"
