"Artist","BookName","FolderPath","PDFCount"
"Led Zepplin","Led Zeppelin - Led Zeppelin Ii","C:\Work\AWSMusic\ProcessedSongs\Led Zepplin\Led Zeppelin - Led Zeppelin Ii","1"
"Meatloaf","Bat Out Of Hell","C:\Work\AWSMusic\ProcessedSongs\Meatloaf\Bat Out Of Hell","3"
"Melissa Etheridge","Songbook","C:\Work\AWSMusic\ProcessedSongs\Melissa Etheridge\Songbook","10"
"Michael Jackson","Number Ones","C:\Work\AWSMusic\ProcessedSongs\Michael Jackson\Number Ones","18"
"Michael Jackson","The Great Songs Of","C:\Work\AWSMusic\ProcessedSongs\Michael Jackson\The Great Songs Of","10"
"Michael Jackson","Thriller (the Complete Song Book)","C:\Work\AWSMusic\ProcessedSongs\Michael Jackson\Thriller (the Complete Song Book)","10"
"Monkees","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Monkees\Greatest Hits","11"
"Neil Diamond","The Essential Neil Diamond","C:\Work\AWSMusic\ProcessedSongs\Neil Diamond\The Essential Neil Diamond","40"
"Neil Young","Decade","C:\Work\AWSMusic\ProcessedSongs\Neil Young\Decade","22"
"Paul Mccartney","All The Best","C:\Work\AWSMusic\ProcessedSongs\Paul Mccartney\All The Best","22"
"Paul Mccartney","Flowers In The Dirt","C:\Work\AWSMusic\ProcessedSongs\Paul Mccartney\Flowers In The Dirt","14"
"Paul Mccartney","Press To Play","C:\Work\AWSMusic\ProcessedSongs\Paul Mccartney\Press To Play","14"
"Paul Mccartney","Ram","C:\Work\AWSMusic\ProcessedSongs\Paul Mccartney\Ram","10"
"Paul Simon","Anthology","C:\Work\AWSMusic\ProcessedSongs\Paul Simon\Anthology","49"
"Paul Simon","Simon & Garfunkel's Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Paul Simon\Simon & Garfunkel's Greatest Hits","14"
"Pink Floyd","Anthology (book)","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Anthology (book)","38"
"Pink Floyd","Anthology - P110-175","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Anthology - P110-175","1"
"Pink Floyd","Anthology - P58-109","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Anthology - P58-109","1"
"Pink Floyd","Dark Side Of The Moon","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Dark Side Of The Moon","1"
"Pink Floyd","Dark Side Of The Moon (2)","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Dark Side Of The Moon (2)","1"
"Pink Floyd","Pink Floyd Songbook","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Pink Floyd Songbook","10"
"Pink Floyd","Wish You Were Here","C:\Work\AWSMusic\ProcessedSongs\Pink Floyd\Wish You Were Here","11"
"Police","The Great Songs Of The Police","C:\Work\AWSMusic\ProcessedSongs\Police\The Great Songs Of The Police","12"
"Pretenders","Best Of Pretenders","C:\Work\AWSMusic\ProcessedSongs\Pretenders\Best Of Pretenders","16"
"Queen","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Queen\Greatest Hits","1"
"Queen","Hit Songs","C:\Work\AWSMusic\ProcessedSongs\Queen\Hit Songs","22"
"Randy Newman","Collection","C:\Work\AWSMusic\ProcessedSongs\Randy Newman\Collection","1"
"Reo Speedwagon","Good Trouble","C:\Work\AWSMusic\ProcessedSongs\Reo Speedwagon\Good Trouble","1"
"Reo Speedwagon","Hi Infidelity","C:\Work\AWSMusic\ProcessedSongs\Reo Speedwagon\Hi Infidelity","1"
"Reo Speedwagon","The Hits","C:\Work\AWSMusic\ProcessedSongs\Reo Speedwagon\The Hits","12"
"Rod Stewart","The Great American Songbook","C:\Work\AWSMusic\ProcessedSongs\Rod Stewart\The Great American Songbook","16"
"Rolling Stones","Best Of Rolling Stones 1963-1973 Piano Songbook","C:\Work\AWSMusic\ProcessedSongs\Rolling Stones\Best Of Rolling Stones 1963-1973 Piano Songbook","20"
"Roy Orbison","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Roy Orbison\Greatest Hits","19"
"Santana","Off The Record","C:\Work\AWSMusic\ProcessedSongs\Santana\Off The Record","8"
"Scott Joplin","The Best Of","C:\Work\AWSMusic\ProcessedSongs\Scott Joplin\The Best Of","17"
"Shania Twain","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Shania Twain\Greatest Hits","21"
"Sheryl Crow","Very Best","C:\Work\AWSMusic\ProcessedSongs\Sheryl Crow\Very Best","17"
"Spice Girls","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Spice Girls\Greatest Hits","11"
"Steely Dan","Steely Dan - The Best","C:\Work\AWSMusic\ProcessedSongs\Steely Dan\Steely Dan - The Best","23"
"Steve Miller Band","13 Biggest Hits","C:\Work\AWSMusic\ProcessedSongs\Steve Miller Band\13 Biggest Hits","13"
"Steve Winwood","The Great Songs Of","C:\Work\AWSMusic\ProcessedSongs\Steve Winwood\The Great Songs Of","8"
"Supertramp","Anthology","C:\Work\AWSMusic\ProcessedSongs\Supertramp\Anthology","2"
"Survivor","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Survivor\Greatest Hits","10"
"Taylor Swift","Taylor Swift","C:\Work\AWSMusic\ProcessedSongs\Taylor Swift\Taylor Swift","11"
"The Band","The Band And Music From Big Pink","C:\Work\AWSMusic\ProcessedSongs\The Band\The Band And Music From Big Pink","21"
