"Artist","ProcessedFolder","SongCount","HasSourceBook","SourceBookName","ProcessedPath"
"_movie And Tv","Various Artists - Star Trek - Generations","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Generations"
"_movie And Tv","Various Artists - Star Trek - Insurrection","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Insurrection"
"_movie And Tv","Various Artists - Star Trek - Star Trek","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Star Trek"
"_movie And Tv","Various Artists - Star Trek - Star Trek The Motion Picture","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Star Trek The Motion Picture"
"_movie And Tv","Various Artists - Star Trek - The Final Frontier","2","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Final Frontier"
"_movie And Tv","Various Artists - Star Trek - The Next Generation","2","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Next Generation"
"_movie And Tv","Various Artists - Star Trek - The Search For Spock","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Search For Spock"
"_movie And Tv","Various Artists - Star Trek - The Undiscovered Country","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Undiscovered Country"
"_movie And Tv","Various Artists - Star Trek - The Voyage Home","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Voyage Home"
"_movie And Tv","Various Artists - Star Trek - The Wrath Of Khan","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - The Wrath Of Khan"
"_movie And Tv","Various Artists - Star Trek - Them From Search For Spock","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Them From Search For Spock"
"_movie And Tv","Various Artists - Star Trek - Voyager","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek - Voyager"
"_movie And Tv","Various Artists - Star Trek (piano Solo)","8","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Star Trek (piano Solo)"
"_movie And Tv","Various Artists - The Big Book Of Movie Music","64","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - The Big Book Of Movie Music"
"_movie And Tv","Various Artists - The Simpsons - Simpsons Songbook","1","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - The Simpsons - Simpsons Songbook"
"_movie And Tv","Various Artists - The Tv Fakebook","71","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - The Tv Fakebook"
"_movie And Tv","Various Artists - Top Movie Hits","10","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Top Movie Hits"
"_movie And Tv","Various Artists - Tv Detective - Themes For Solo Piano","28","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Tv Detective - Themes For Solo Piano"
"_movie And Tv","Various Artists - Tv Fakebook 2nd Ed","105","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Tv Fakebook 2nd Ed"
"_movie And Tv","Various Artists - Ultimate Tv Showstoppers","18","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Ultimate Tv Showstoppers"
"_movie And Tv","Various Artists - Warner Bros 75th Anniversary","3","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Warner Bros 75th Anniversary"
"_movie And Tv","Various Artists - Wizard Of Oz [book]","10","False","","C:\Work\AWSMusic\ProcessedSongs\_movie And Tv\Various Artists - Wizard Of Oz [book]"
"Acdc","Acdc - Anthology","0","False","","C:\Work\AWSMusic\ProcessedSongs\Acdc\Acdc - Anthology"
