from_artist,from_book,to_artist,to_book,match_quality,song_count
Pink Floyd,Anthology (book),Pink Floyd,Pink Floyd - Anthology _book_,PERFECT,38
Pink Floyd,Dark Side Of The Moon (2),Pink Floyd,Pink Floyd - Dark Side Of The Moon,PERFECT,1
Pink Floyd,Dark Side Of The Moon (2),Pink Floyd,Pink Floyd - Dark Side Of The Moon _2_,PERFECT,1
Pink Floyd,Dark Side Of The Moon (2),Pink Floyd,Pink Floyd - Dark Side Of The Moon _PVG_,PERFECT,1
Pink Floyd,The Wall [pvg],Pink Floyd,Pink Floyd - The Wall _PVG_,PERFECT,23
Pink Floyd,Wish You Were Here [pvg],Pink Floyd,Pink Floyd - Wish You Were Here,PERFECT,12
Pink Floyd,Wish You Were Here [pvg],Pink Floyd,Pink Floyd - Wish You Were Here _PVG_,PERFECT,12
Police,The Great Songs Of The Police,Police,Police - The Great Songs Of The Police,PERFECT,12
Pretenders,Best Of Pretenders,Pretenders,Pretenders - Best Of Pretenders,PERFECT,16
Prince,Purple Rain [score],Prince,Prince - Purple Rain _Score_,PERFECT,1
Queen,Deluxe Anthology [pvg],Queen,Queen - Deluxe Anthology _PVG_,PERFECT,1
Queen,Deluxe Anthology [pvg],Queen,Queen - Greatest Hits,PERFECT,1
Queen,Greatest Hits 1 [score],Queen,Queen - Greatest Hits 1 _Score_,PERFECT,16
Queen,Greatest Hits Ii [pvg],Queen,Queen - Greatest Hits II _PVG_,PERFECT,17
Queen,Hit Songs,Queen,Queen - Hit Songs,PERFECT,22
Randy Newman,Collection,Randy Newman,Randy Newman - Collection,PERFECT,1
Reo Speedwagon,Good Trouble,Reo Speedwagon,REO Speedwagon - Good Trouble,PERFECT,1
Reo Speedwagon,Hi Infidelity,Reo Speedwagon,REO Speedwagon - Hi Infidelity,PERFECT,1
Reo Speedwagon,Reo Speedwagon - Life As We Know It,Reo Speedwagon,REO Speedwagon - Life As We Know It,PERFECT,4
Reo Speedwagon,The Hits,Reo Speedwagon,REO Speedwagon - The Hits,PERFECT,12
Rod Stewart,The Great American Songbook,Rod Stewart,Rod Stewart - The Great American Songbook,PERFECT,16
Rolling Stones,Best Of Rolling Stones 1963-1973 Piano Songbook,Rolling Stones,Rolling Stones - Best Of Rolling Stones 1963-1973 Piano Songbook,PERFECT,20
Rolling Stones,Let It Bleed [guitar Tab],Rolling Stones,Rolling Stones - Let It Bleed _Guitar Tab_,PERFECT,9
Rolling Stones,Sticky Fingers [score],Rolling Stones,Rolling Stones - Sticky Fingers _Score_,PERFECT,10
Roy Orbison,Greatest Hits,Roy Orbison,Roy Orbison - Greatest Hits,PERFECT,19
Santana,Off The Record,Santana,Santana - Off The Record,PERFECT,8
Scott Joplin,The Best Of,Scott Joplin,Scott Joplin - The Best Of,PERFECT,17
Shania Twain,Greatest Hits,Shania Twain,Shania Twain - Greatest Hits,PERFECT,21
Shania Twain,Up! [pvg Book],Shania Twain,Shania Twain - Up _PVG Book_,PERFECT,20
Sheryl Crow,Tuesday Night Music Club [pvg Book],Sheryl Crow,Sheryl Crow - Tuesday Night Music Club _PVG Book_,PERFECT,11
Sheryl Crow,Very Best,Sheryl Crow,Sheryl Crow - Very Best,PERFECT,17
Spice Girls,Greatest Hits,Spice Girls,Spice Girls - Greatest Hits,PERFECT,11
Steve Miller Band,13 Biggest Hits,Steve Miller Band,Steve Miller Band - 13 Biggest Hits,PERFECT,13
