action,book_id,old_source_uri,new_source_uri,old_artist,new_artist,old_book_name,new_book_name,old_status,new_status,match_score,uri_changed,artist_changed,book_name_changed,status_changed
update,02b4b59883ba5874,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Invisible Touch [Book].pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Invisible Touch _Book_.pdf,Genesis,Genesis,Genesis - Invisible Touch [Book],Genesis - Invisible Touch _Book_,success,success,0.988,YES,NO,YES,NO
update,51cc19ed242b48aa,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Rock Score.pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Rock Score.pdf,Genesis,Genesis,Genesis - Rock Score,Genesis - Rock Score,success,success,0.984,YES,NO,NO,NO
update,41d2ef8728ba0ccf,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Seconds Out.pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Seconds Out.pdf,Genesis,Genesis,Genesis - Seconds Out,Genesis - Seconds Out,success,success,0.984,YES,NO,NO,NO
update,79707976664b9389,s3://jsmith-input/SheetMusic/Genesis/books/Genesis - Selling England by the Pound.pdf,s3://jsmith-input/SheetMusic/Genesis/Genesis - Selling England By The Pound.pdf,Genesis,Genesis,Genesis - Selling England by the Pound,Genesis - Selling England By The Pound,success,success,0.990,YES,NO,YES,NO
update,69fc57bc1074b50c,s3://jsmith-input/SheetMusic/George Michael/books/George Michael - Greatest Hits.pdf,s3://jsmith-input/SheetMusic/George Michael/George Michael - Greatest Hits.pdf,George Michael,George Michael,George Michael - Greatest Hits,George Michael - Greatest Hits,success,success,0.989,YES,NO,NO,NO
update,ad64662d42ce9000,s3://jsmith-input/SheetMusic/George Michael/books/George Michael - Older [Book] .pdf,s3://jsmith-input/SheetMusic/George Michael/George Michael - Older _Book_.pdf,George Michael,George Michael,George Michael - Older [Book] ,George Michael - Older _Book_,success,success,0.987,YES,NO,YES,NO
update,grand-funk-railroad-grand-funk-closer-to-home-pvg-book,s3://jsmith-input/SheetMusic/Grand Funk Railroad/books/Grand Funk - Closer To Home [PVG Book].pdf,s3://jsmith-input/SheetMusic/Grand Funk Railroad/Grand Funk - Closer To Home _PVG Book_.pdf,Grand Funk Railroad,Grand Funk Railroad,Grand Funk - Closer To Home [PVG Book],Grand Funk - Closer To Home _PVG Book_,success,success,0.991,YES,NO,YES,NO
update,abc5ef9b2b7ef938,s3://jsmith-input/SheetMusic/Grand Funk Railroad/books/Grand Funk - We're An American Band [PVG Book].pdf,s3://jsmith-input/SheetMusic/Grand Funk Railroad/Grand Funk - Were An American Band _PVG Book_.pdf,Grand Funk Railroad,Grand Funk Railroad,Grand Funk - We're An American Band [PVG Book],Grand Funk - Were An American Band _PVG Book_,success,success,0.992,YES,NO,YES,NO
update,57419800bd61b77c,s3://jsmith-input/SheetMusic/Grand Funk Railroad/books/Grand Funk Railroad - Born To Die [PVG Book].pdf,s3://jsmith-input/SheetMusic/Grand Funk Railroad/Grand Funk Railroad - Born To Die _PVG Book_.pdf,Grand Funk Railroad,Grand Funk Railroad,Grand Funk Railroad - Born To Die [PVG Book],Grand Funk Railroad - Born To Die _PVG Book_,success,success,0.992,YES,NO,YES,NO
update,292b76b1fe0ab19a,"s3://jsmith-input/SheetMusic/Grand Funk Railroad/books/Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [PVG].pdf",s3://jsmith-input/SheetMusic/Grand Funk Railroad/Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_.pdf,Grand Funk Railroad,Grand Funk Railroad,"Grand Funk Railroad - Hits From We're An American Band, Shinin' On, Phoenix [PVG]",Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,success,success,0.995,YES,NO,YES,NO
update,9e4a91b97328b393,s3://jsmith-input/SheetMusic/Harry Chapin/books/Harry Chapin - The Authentic Guitar Style Of [Guitar Tab].pdf,s3://jsmith-input/SheetMusic/Harry Chapin/Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_.pdf,Harry Chapin,Harry Chapin,Harry Chapin - The Authentic Guitar Style Of [Guitar Tab],Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,success,success,0.993,YES,NO,YES,NO
update,ed9510bed3484512,s3://jsmith-input/SheetMusic/Henri Mancini/books/Henry Mancini - A Merry Mancini Christmas.pdf,s3://jsmith-input/SheetMusic/Henri Mancini/Henry Mancini - A Merry Mancini Christmas.pdf,Henri Mancini,Henri Mancini,Henry Mancini - A Merry Mancini Christmas,Henry Mancini - A Merry Mancini Christmas,success,success,0.991,YES,NO,NO,NO
