Artist,OldFolderName,NewFolderName,OldPath,NewPath,FileCount
Bonnie Tyler,Hot Songs,Bonnie Tyler - Hot Songs,ProcessedSongs\Bonnie Tyler\Hot Songs,ProcessedSongs\Bonnie Tyler\Bonnie Tyler - Hot Songs,7
Bread,Best Of Bread,Bread - Best Of Bread,ProcessedSongs\Bread\Best Of Bread,ProcessedSongs\Bread\Bread - Best Of Bread,4
Bruce Springsteen,Born In The Usa,Bruce Springsteen - Born In The USA,ProcessedSongs\Bruce Springsteen\Born In The Usa,ProcessedSongs\Bruce Springsteen\Bruce Springsteen - Born In The USA,13
Bruce Springsteen,Born To Run,Bruce Springsteen - Born To Run,ProcessedSongs\Bruce Springsteen\Born To Run,ProcessedSongs\Bruce Springsteen\Bruce Springsteen - Born To Run,8
Bruce Springsteen,Greatest Hits,Bruce Springsteen - Greatest Hits,ProcessedSongs\Bruce Springsteen\Greatest Hits,ProcessedSongs\Bruce Springsteen\Bruce Springsteen - Greatest Hits,13
Bruce Springsteen,Lucky Town,Bruce Springsteen - Lucky Town,ProcessedSongs\Bruce Springsteen\Lucky Town,ProcessedSongs\Bruce Springsteen\Bruce Springsteen - Lucky Town,9
Buddy Holly,Golden Anniversary Songbook,Buddy Holly - Golden Anniversary Songbook,ProcessedSongs\Buddy Holly\Golden Anniversary Songbook,ProcessedSongs\Buddy Holly\Buddy Holly - Golden Anniversary Songbook,28
Burl Ives,Song Book,Burl Ives - Song Book,ProcessedSongs\Burl Ives\Song Book,ProcessedSongs\Burl Ives\Burl Ives - Song Book,106
Burt Bacharach,40 Golden Songs Of,Burt Bacharach - 40 Golden Songs Of,ProcessedSongs\Burt Bacharach\40 Golden Songs Of,ProcessedSongs\Burt Bacharach\Burt Bacharach - 40 Golden Songs Of,40
Burt Bacharach,Anthology,Burt Bacharach - Anthology,ProcessedSongs\Burt Bacharach\Anthology,ProcessedSongs\Burt Bacharach\Burt Bacharach - Anthology,33
Burt Bacharach,Bacharach Collection,Burt Bacharach - Bacharach Collection,ProcessedSongs\Burt Bacharach\Bacharach Collection,ProcessedSongs\Burt Bacharach\Burt Bacharach - Bacharach Collection,15
Carole King,Bradleys Best Of The Best _organ_,Carole King - Bradleys Best Of The Best _Organ_,ProcessedSongs\Carole King\Bradleys Best Of The Best _organ_,ProcessedSongs\Carole King\Carole King - Bradleys Best Of The Best _Organ_,13
Carole King,Classics _2_,Carole King - Classics _2_,ProcessedSongs\Carole King\Classics _2_,ProcessedSongs\Carole King\Carole King - Classics _2_,35
Carole King,Classics _3_,Carole King - Classics _3_,ProcessedSongs\Carole King\Classics _3_,ProcessedSongs\Carole King\Carole King - Classics _3_,35
Carole King,Classics,Carole King - Classics,ProcessedSongs\Carole King\Classics,ProcessedSongs\Carole King\Carole King - Classics,21
Carole King,Keyboard Play-along Vol 22,Carole King - Keyboard Play-Along Vol 22,ProcessedSongs\Carole King\Keyboard Play-along Vol 22,ProcessedSongs\Carole King\Carole King - Keyboard Play-Along Vol 22,8
Carole King,Tapestry,Carole King - Tapestry,ProcessedSongs\Carole King\Tapestry,ProcessedSongs\Carole King\Carole King - Tapestry,12
Carole King,The New Best Of Carole King,Carole King - The New Best Of Carole King,ProcessedSongs\Carole King\The New Best Of Carole King,ProcessedSongs\Carole King\Carole King - The New Best Of Carole King,19
Carole King,Youre The Voice,Carole King - Youre The Voice,ProcessedSongs\Carole King\Youre The Voice,ProcessedSongs\Carole King\Carole King - Youre The Voice,11
Carpenters,Anthology,Carpenters - Anthology,ProcessedSongs\Carpenters\Anthology,ProcessedSongs\Carpenters\Carpenters - Anthology,43
Carpenters,Love Songs,Carpenters - Love Songs,ProcessedSongs\Carpenters\Love Songs,ProcessedSongs\Carpenters\Carpenters - Love Songs,22
Carpenters,Note For Note,Carpenters - Note For Note,ProcessedSongs\Carpenters\Note For Note,ProcessedSongs\Carpenters\Carpenters - Note For Note,11
Colbie Caillat,Breakthrough _pvg Book_,Colbie Caillat - Breakthrough _PVG Book_,ProcessedSongs\Colbie Caillat\Breakthrough _pvg Book_,ProcessedSongs\Colbie Caillat\Colbie Caillat - Breakthrough _PVG Book_,13
Cole Porter,The Very Best Of Cole Porter,Cole Porter - The Very Best Of Cole Porter,ProcessedSongs\Cole Porter\The Very Best Of Cole Porter,ProcessedSongs\Cole Porter\Cole Porter - The Very Best Of Cole Porter,38
Cream,Cream Complete,Cream - Cream Complete,ProcessedSongs\Cream\Cream Complete,ProcessedSongs\Cream\Cream - Cream Complete,25
Creedence Clearwater Revival,8 Pcs Book,Creedence Clearwater Revival - 8 Pcs Book,ProcessedSongs\Creedence Clearwater Revival\8 Pcs Book,ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book,8
Creedence Clearwater Revival,Best Of,Creedence Clearwater Revival - Best Of,ProcessedSongs\Creedence Clearwater Revival\Best Of,ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of,20
Creedence Clearwater Revival,Guitar Anthology,Creedence Clearwater Revival - Guitar Anthology,ProcessedSongs\Creedence Clearwater Revival\Guitar Anthology,ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology,20
Creedence Clearwater Revival,Ultimate Minus One,Creedence Clearwater Revival - Ultimate Minus One,ProcessedSongs\Creedence Clearwater Revival\Ultimate Minus One,ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One,7
Crowded House,The Very Best Of _pvg Book_,Crowded House - The Very Best Of _PVG Book_,ProcessedSongs\Crowded House\The Very Best Of _pvg Book_,ProcessedSongs\Crowded House\Crowded House - The Very Best Of _PVG Book_,19
Crowded House,Together Alone _pvg Book_,Crowded House - Together Alone _PVG Book_,ProcessedSongs\Crowded House\Together Alone _pvg Book_,ProcessedSongs\Crowded House\Crowded House - Together Alone _PVG Book_,13
Dire Straits,Best Of Dire Straits _guitar Tab_,Dire Straits - Best Of Dire Straits _Guitar Tab_,ProcessedSongs\Dire Straits\Best Of Dire Straits _guitar Tab_,ProcessedSongs\Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_,22
Dire Straits,Jam With Dire Straits _guitar Book_,Dire Straits - Jam With Dire Straits _Guitar Book_,ProcessedSongs\Dire Straits\Jam With Dire Straits _guitar Book_,ProcessedSongs\Dire Straits\Dire Straits - Jam With Dire Straits _Guitar Book_,8
Don Henley,The End Of The Innocence _pvg Book_,Don Henley - The End Of The Innocence _PVG Book_,ProcessedSongs\Don Henley\The End Of The Innocence _pvg Book_,ProcessedSongs\Don Henley\Don Henley - The End Of The Innocence _PVG Book_,10
Doobie Brothers,Best Of _band Score Jap_,Doobie Brothers - Best Of _Band Score Jap_,ProcessedSongs\Doobie Brothers\Best Of _band Score Jap_,ProcessedSongs\Doobie Brothers\Doobie Brothers - Best Of _Band Score Jap_,1
Doobie Brothers,Songs,Doobie Brothers - Songs,ProcessedSongs\Doobie Brothers\Songs,ProcessedSongs\Doobie Brothers\Doobie Brothers - Songs,9
Doors,Anthology,Doors - Anthology,ProcessedSongs\Doors\Anthology,ProcessedSongs\Doors\Doors - Anthology,12
Doors,Songbook,Doors - Songbook,ProcessedSongs\Doors\Songbook,ProcessedSongs\Doors\Doors - Songbook,6
Dr John,New Orleans Piano Vol 2,Dr John - New Orleans Piano Vol 2,ProcessedSongs\Dr John\New Orleans Piano Vol 2,ProcessedSongs\Dr John\Dr John - New Orleans Piano Vol 2,3
Duran Duran,Best Of _score_,Duran Duran - Best Of _Score_,ProcessedSongs\Duran Duran\Best Of _score_,ProcessedSongs\Duran Duran\Duran Duran - Best Of _Score_,12
Duran Duran,Decade _pvg Book_,Duran Duran - Decade _PVG Book_,ProcessedSongs\Duran Duran\Decade _pvg Book_,ProcessedSongs\Duran Duran\Duran Duran - Decade _PVG Book_,15
Duran Duran,Seven And The Ragged Tiger _jap Band Score_,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,ProcessedSongs\Duran Duran\Seven And The Ragged Tiger _jap Band Score_,ProcessedSongs\Duran Duran\Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8
Eagles,Greatest Hits _1971-1975_,Eagles - Greatest Hits _1971-1975_,ProcessedSongs\Eagles\Greatest Hits _1971-1975_,ProcessedSongs\Eagles\Eagles - Greatest Hits _1971-1975_,10
Eagles,Greatest Hits,Eagles - Greatest Hits,ProcessedSongs\Eagles\Greatest Hits,ProcessedSongs\Eagles\Eagles - Greatest Hits,10
Eagles,Hotel California _guitar Songbook_,Eagles - Hotel California _Guitar Songbook_,ProcessedSongs\Eagles\Hotel California _guitar Songbook_,ProcessedSongs\Eagles\Eagles - Hotel California _Guitar Songbook_,1
Eagles,Made Easy For Guitar,Eagles - Made Easy For Guitar,ProcessedSongs\Eagles\Made Easy For Guitar,ProcessedSongs\Eagles\Eagles - Made Easy For Guitar,6
Eagles,New Eagles Complete,Eagles - New Eagles Complete,ProcessedSongs\Eagles\New Eagles Complete,ProcessedSongs\Eagles\Eagles - New Eagles Complete,67
Eagles,The Best Of The Eagles - Songbook,Eagles - The Best Of The Eagles - Songbook,ProcessedSongs\Eagles\The Best Of The Eagles - Songbook,ProcessedSongs\Eagles\Eagles - The Best Of The Eagles - Songbook,12
ELO,A New World Record,ELO - A New World Record,ProcessedSongs\Elo\A New World Record,ProcessedSongs\Elo\ELO - A New World Record,7
ELO,Anthology _pvg_,Elo - Anthology _PVG_,ProcessedSongs\Elo\Anthology _pvg_,ProcessedSongs\Elo\Elo - Anthology _PVG_,32
ELO,Discovery _pvg Book_,Elo - Discovery _PVG Book_,ProcessedSongs\Elo\Discovery _pvg Book_,ProcessedSongs\Elo\Elo - Discovery _PVG Book_,1
ELO,Face The Music _pvg Bok_,Elo - Face The Music _PVG Bok_,ProcessedSongs\Elo\Face The Music _pvg Bok_,ProcessedSongs\Elo\Elo - Face The Music _PVG Bok_,2
Elton John,A Single Man,Elton John - A Single Man,ProcessedSongs\Elton John\A Single Man,ProcessedSongs\Elton John\Elton John - A Single Man,10
Elton John,Captain Fantastic,Elton John - Captain Fantastic,ProcessedSongs\Elton John\Captain Fantastic,ProcessedSongs\Elton John\Elton John - Captain Fantastic,1
Elton John,Greatest Hits 1970-2002,Elton John - Greatest Hits 1970-2002,ProcessedSongs\Elton John\Greatest Hits 1970-2002,ProcessedSongs\Elton John\Elton John - Greatest Hits 1970-2002,30
Elton John,Ice On Fire,Elton John - Ice On Fire,ProcessedSongs\Elton John\Ice On Fire,ProcessedSongs\Elton John\Elton John - Ice On Fire,12
Elton John,Made In England,Elton John - Made In England,ProcessedSongs\Elton John\Made In England,ProcessedSongs\Elton John\Elton John - Made In England,11
Elton John,Peachtree Road,Elton John - Peachtree Road,ProcessedSongs\Elton John\Peachtree Road,ProcessedSongs\Elton John\Elton John - Peachtree Road,10
Elton John,Reg Strikes Back,Elton John - Reg Strikes Back,ProcessedSongs\Elton John\Reg Strikes Back,ProcessedSongs\Elton John\Elton John - Reg Strikes Back,9
Elton John,Sleeping With The Past,Elton John - Sleeping With The Past,ProcessedSongs\Elton John\Sleeping With The Past,ProcessedSongs\Elton John\Elton John - Sleeping With The Past,1
Elton John,Songs From The West Coast,Elton John - Songs From The West Coast,ProcessedSongs\Elton John\Songs From The West Coast,ProcessedSongs\Elton John\Elton John - Songs From The West Coast,3
Elton John,The Big Picture,Elton John - The Big Picture,ProcessedSongs\Elton John\The Big Picture,ProcessedSongs\Elton John\Elton John - The Big Picture,3
Elton John,The One,Elton John - The One,ProcessedSongs\Elton John\The One,ProcessedSongs\Elton John\Elton John - The One,5
Elton John,The Ultimate Collection Vol 1,Elton John - The Ultimate Collection Vol 1,ProcessedSongs\Elton John\The Ultimate Collection Vol 1,ProcessedSongs\Elton John\Elton John - The Ultimate Collection Vol 1,59
Elton John,The Ultimate Collection Vol 2,Elton John - The Ultimate Collection Vol 2,ProcessedSongs\Elton John\The Ultimate Collection Vol 2,ProcessedSongs\Elton John\Elton John - The Ultimate Collection Vol 2,29
Elton John,The Very Best Of,Elton John - The Very Best Of,ProcessedSongs\Elton John\The Very Best Of,ProcessedSongs\Elton John\Elton John - The Very Best Of,1
Elton John,Too Low For Zero _book_,Elton John - Too Low For Zero _Book_,ProcessedSongs\Elton John\Too Low For Zero _book_,ProcessedSongs\Elton John\Elton John - Too Low For Zero _Book_,10
Elvis Costello,The Very Best Of,Elvis Costello - The Very Best Of,ProcessedSongs\Elvis Costello\The Very Best Of,ProcessedSongs\Elvis Costello\Elvis Costello - The Very Best Of,42
Emerson Lake and Palmer,Black Book,Emerson Lake And Palmer - Black Book,ProcessedSongs\Emerson Lake And Palmer\Black Book,ProcessedSongs\Emerson Lake And Palmer\Emerson Lake And Palmer - Black Book,2
Emerson Lake and Palmer,Greatest Hits,Emerson Lake And Palmer - Greatest Hits,ProcessedSongs\Emerson Lake And Palmer\Greatest Hits,ProcessedSongs\Emerson Lake And Palmer\Emerson Lake And Palmer - Greatest Hits,10
