local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_files,local_only,s3_only,match_pct,count_diff_pct,quality
Carole King,Carole King - Classics _3_,35,Carole King,Classics (3),35,11,24,24,0.314,0.000,POOR
Carole King,Carole King - Keyboard Play-Along Vol 22,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Carole King,Carole King - Tapestry,12,Carole King,You're The Voice,11,5,7,6,0.417,0.083,POOR
Carole King,Carole King - The New Best Of Carole King,19,,,0,0,19,0,0.000,1.000,NO_MATCH
Carole King,Carole King - Youre The Voice,11,Carole King,Carole King - Tapestry,9,5,6,4,0.455,0.182,POOR
Carpenters,Carpenters - Anthology,43,Carpenters,Anthology,43,8,35,35,0.186,0.000,POOR
Carpenters,Carpenters - Love Songs,22,Carpenters,Carpenters - Anthology,21,8,14,13,0.364,0.045,POOR
Carpenters,Carpenters - Note For Note,11,,,0,0,11,0,0.000,1.000,NO_MATCH
Cheap Trick,Cheap Trick - Greatest Hits _Score_,1,Cheap Trick,Cheap Trick - Greatest Hits [score],1,1,0,0,1.000,0.000,PERFECT
Colbie Caillat,Colbie Caillat - Breakthrough _PVG Book_,13,,,0,0,13,0,0.000,1.000,NO_MATCH
Cole Porter,Cole Porter - The Very Best Of Cole Porter,38,Cole Porter,The Very Best Of Cole Porter,38,29,9,9,0.763,0.000,POOR
Cream,Cream - Cream Complete,25,Cream,Cream - Cream Complete,20,20,5,0,0.800,0.200,PARTIAL
Creedence Clearwater Revival,Creedence Clearwater Revival - 8 Pcs Book,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,20,,,0,0,20,0,0.000,1.000,NO_MATCH
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Anthology,20,,,0,0,20,0,0.000,1.000,NO_MATCH
Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,Creedence Clearwater Revival,Creedence Clearwater Revival - Guitar Tab Book,7,7,0,0,1.000,0.000,PERFECT
Creedence Clearwater Revival,Creedence Clearwater Revival - Ultimate Minus One,7,,,0,0,7,0,0.000,1.000,NO_MATCH
Crosby Stills And Nash,Crosby Stills Nash And Young - Deja Vu _PVG Book_,21,,,0,0,21,0,0.000,1.000,NO_MATCH
Crowded House,Crowded House - The Very Best Of _PVG Book_,19,,,0,0,19,0,0.000,1.000,NO_MATCH
Crowded House,Crowded House - Together Alone _PVG Book_,13,,,0,0,13,0,0.000,1.000,NO_MATCH
David Crosby,David Crosby - Songbook _Lead Sheets_,1,David Crosby,David Crosby - Songbook [lead Sheets],1,1,0,0,1.000,0.000,PERFECT
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,22,,,0,0,22,0,0.000,1.000,NO_MATCH
Dire Straits,Dire Straits - Brothers In Arms,9,Dire Straits,Dire Straits - Brothers In Arms,9,9,0,0,1.000,0.000,PERFECT
Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Dire Straits,Dire Straits - Money For Nothing _Guitar Book_,1,Dire Straits,Dire Straits - Money For Nothing [guitar Book],1,1,0,0,1.000,0.000,PERFECT
Don Henley,Don Henley - Actual Miles _Greatest Hits_,3,Don Henley,Don Henley - Actual Miles (greatest Hits),3,3,0,0,1.000,0.000,PERFECT
Don Henley,Don Henley - The End Of The Innocence _PVG Book_,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Doobie Brothers,Doobie Brothers - Best Of _Band Score Jap_,1,Doobie Brothers,Doobie Brothers - Best Of [band Score Jap],1,1,0,0,1.000,0.000,PERFECT
Doobie Brothers,Doobie Brothers - Songs,9,,,0,0,9,0,0.000,1.000,NO_MATCH
Doors,Doors - Anthology,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Doors,Doors - Songbook,6,,,0,0,6,0,0.000,1.000,NO_MATCH
Dr John,Dr John - New Orleans Piano Vol 2,3,,,0,0,3,0,0.000,1.000,NO_MATCH
Duran Duran,Duran Duran - Best Of _Score_,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Duran Duran,Duran Duran - Decade _PVG Book_,15,,,0,0,15,0,0.000,1.000,NO_MATCH
Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Eagles,Eagles - Greatest Hits,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Eagles,Eagles - Greatest Hits _1971-1975_,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Eagles,Eagles - Hotel California _Guitar Songbook_,1,Eagles,Eagles - Hotel California (guitar Songbook),1,1,0,0,1.000,0.000,PERFECT
Eagles,Eagles - Made Easy For Guitar,6,,,0,0,6,0,0.000,1.000,NO_MATCH
Eagles,Eagles - New Eagles Complete,67,,,0,0,67,0,0.000,1.000,NO_MATCH
Eagles,Eagles - The Best Of The Eagles - Songbook,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Elo,ELO - A New World Record,7,Elo,Anthology [pvg],32,6,1,26,0.857,3.571,PARTIAL
Elo,ELO - Greatest Hits,2,Elo,Elo - Greatest Hits,2,2,0,0,1.000,0.000,PERFECT
Elo,Elo - Anthology _PVG_,32,,,0,0,32,0,0.000,1.000,NO_MATCH
Elo,Elo - Discovery _PVG Book_,1,Elo,Elo - Discovery [pvg Book],7,1,0,6,1.000,6.000,PARTIAL
Elo,Elo - Face The Music _PVG Bok_,2,Elo,Elo - Face The Music [pvg Bok],2,2,0,0,1.000,0.000,PERFECT
Elo,Elo - Out Of The Blue _Book_,1,Elo,Elo - Out Of The Blue [book],1,1,0,0,1.000,0.000,PERFECT
Elo,Elton John - The Elton John Collection [Piano Solos],29,Elo,Elton John - The Elton John Collection [piano Solos],29,29,0,0,1.000,0.000,PERFECT
Elton John,Elton John - A Single Man,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Captain Fantastic,1,,,0,0,1,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Goodbye Yellow Brick Road,2,Elton John,Elton John - Goodbye Yellow Brick Road,2,2,0,0,1.000,0.000,PERFECT
Elton John,Elton John - Greatest Hits 1970-2002,30,Elton John,Greatest Hits 1970-2002,30,18,12,12,0.600,0.000,POOR
Elton John,Elton John - Ice On Fire,12,,,0,0,12,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Made In England,11,,,0,0,11,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Peachtree Road,10,,,0,0,10,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Reg Strikes Back,9,,,0,0,9,0,0.000,1.000,NO_MATCH
Elton John,Elton John - Sleeping With The Past,1,Elton John,Elton John - Sleeping With The Past,1,1,0,0,1.000,0.000,PERFECT
Elton John,Elton John - Songs From The West Coast,3,,,0,0,3,0,0.000,1.000,NO_MATCH
Elton John,Elton John - The Big Picture,3,,,0,0,3,0,0.000,1.000,NO_MATCH
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Elton John,Elton John - Greatest Hits 1970-2002,19,7,15,12,0.318,0.136,POOR
Elton John,Elton John - The One,5,Elton John,Elton John - The One,5,5,0,0,1.000,0.000,PERFECT
Elton John,Elton John - The Ultimate Collection Vol 1,59,Elton John,The Ultimate Collection Vol. 1,58,8,51,50,0.136,0.017,POOR
Elton John,Elton John - The Ultimate Collection Vol 2,29,,,0,0,29,0,0.000,1.000,NO_MATCH
Elton John,Elton John - The Very Best Of,1,Elton John,Elton John - The Very Best Of,1,1,0,0,1.000,0.000,PERFECT
Elton John,Elton John - Too Low For Zero _Book_,10,Elton John,Too Low For Zero [book],10,10,0,0,1.000,0.000,PERFECT
Elvis Costello,Elvis Costello - The Very Best Of,42,Elvis Costello,The Very Best Of,42,42,0,0,1.000,0.000,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Black Book,2,Emerson Lake And Palmer,Black Book,2,2,0,0,1.000,0.000,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Greatest Hits,10,Emerson Lake And Palmer,Greatest Hits,10,10,0,0,1.000,0.000,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Tarkus _Book_,13,Emerson Lake And Palmer,Tarkus [book],13,13,0,0,1.000,0.000,PERFECT
Emerson Lake And Palmer,Emerson Lake And Palmer - Trilogy _Book_,7,Emerson Lake And Palmer,Trilogy [book],7,7,0,0,1.000,0.000,PERFECT
Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,14,Eric Clapton,Derek And The Dominos [book],14,14,0,0,1.000,0.000,PERFECT
Eric Clapton,Eric Clapton - The Best Of Book,10,Eric Clapton,The Best Of Book,10,10,0,0,1.000,0.000,PERFECT
Eric Clapton,Eric Clapton - Unplugged _Book_,14,Eric Clapton,Unplugged [book],14,14,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Anthology,27,Fleetwood Mac,Anthology,27,27,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,42,Fleetwood Mac,Deluxe Anthology,42,42,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15,Fleetwood Mac,Fleetwood Mac + Heroes Are Hard To Find,15,15,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Mirage,12,Fleetwood Mac,Mirage,12,12,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Rumours,11,Fleetwood Mac,Rumours,11,11,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - Tango In The Night,12,Fleetwood Mac,Tango In The Night,12,12,0,0,1.000,0.000,PERFECT
Fleetwood Mac,Fleetwood Mac - The Dance,13,Fleetwood Mac,The Dance,13,13,0,0,1.000,0.000,PERFECT
Frank Zappa,Frank Zappa - Hot Rats,2,Frank Zappa,Frank Zappa - Hot Rats,2,2,0,0,1.000,0.000,PERFECT
Frank Zappa,Frank Zappa - Songbook Vol 1,17,Frank Zappa,Songbook Vol 1,17,17,0,0,1.000,0.000,PERFECT
