local_artist,local_book,local_count,current_match,current_quality,candidate_1,score_1,count_1,candidate_2,score_2,count_2,candidate_3,score_3,count_3,selected_match,notes
Crowded House,Crowded House - The Very Best Of _PVG Book_,19,Crowded House/Crowded House - The Very Best Of [pvg Book],POOR,Crowded House/Crowded House - The Very Best Of [pvg Book],0.65,7,Crowded House/The Very Best Of [pvg Book],0.61,19,Crowded House/Crowded House - Together Alone [pvg Book],0.33,6,,
Crowded House,Crowded House - Together Alone _PVG Book_,13,Crowded House/Crowded House - Together Alone [pvg Book],POOR,Crowded House/Crowded House - Together Alone [pvg Book],0.64,6,Crowded House/Together Alone [pvg Book],0.50,13,Crowded House/Crowded House - The Very Best Of [pvg Book],0.39,7,,
Dire Straits,Dire Straits - Best Of Dire Straits _Guitar Tab_,22,Dire Straits/Dire Straits - Best Of Dire Straits [guitar Tab],POOR,Dire Straits/Best Of Dire Straits [guitar Tab],0.70,22,Dire Straits/Dire Straits - Best Of Dire Straits [guitar Tab],0.58,6,Dire Straits/Dire Straits - Brothers In Arms,0.42,9,,
Dire Straits,Dire Straits - Jam With Dire Straits _Guitar Book_,8,Dire Straits/Dire Straits - Jam With Dire Straits [guitar Book],PARTIAL,Dire Straits/Jam With Dire Straits [guitar Book],0.70,8,Dire Straits/Dire Straits - Jam With Dire Straits [guitar Book],0.69,5,Dire Straits/Dire Straits - Brothers In Arms,0.56,9,,
Don Henley,Don Henley - The End Of The Innocence _PVG Book_,10,Don Henley/Don Henley - The End Of The Innocence [pvg Book],PARTIAL,Don Henley/Don Henley - The End Of The Innocence [pvg Book],0.69,5,Don Henley/The End Of The Innocence [pvg Book],0.61,10,Don Henley/Don Henley - Actual Miles (greatest Hits),0.32,3,,
Doobie Brothers,Doobie Brothers - Songs,9,Doobie Brothers/Doobie Brothers - Songs,POOR,Doobie Brothers/Doobie Brothers - Songs,0.83,4,Doobie Brothers/Doobie Brothers - Best Of [band Score Jap],0.30,1,,,,,
Doors,Doors - Anthology,12,Doors/Doors - Anthology,PARTIAL,Doors/Doors - Anthology,0.87,7,Doors/Doors - Songbook,0.52,2,,,,,
Doors,Doors - Songbook,6,Doors/Doors - Songbook,POOR,Doors/Doors - Songbook,0.80,2,Doors/Doors - Anthology,0.72,7,,,,,
Dr John,Dr John - New Orleans Piano Vol 2,3,NONE,NO MATCH,Dr John/New Orleans Piano Vol 2,0.74,3,,,,,,,,
Duran Duran,Duran Duran - Best Of _Score_,12,Duran Duran/Best Of [score],PARTIAL,Duran Duran/Duran Duran - Best Of [score],0.58,1,Duran Duran/Duran Duran - Decade [pvg Book],0.43,6,Duran Duran/Best Of [score],0.40,19,,
Duran Duran,Duran Duran - Decade _PVG Book_,15,Duran Duran/Duran Duran - Decade [pvg Book],POOR,Duran Duran/Duran Duran - Decade [pvg Book],0.54,6,Duran Duran/Duran Duran - Best Of [score],0.30,1,Duran Duran/Duran Duran - Seven & The Ragged Tiger [jap Band Score],0.24,5,,
Duran Duran,Duran Duran - Seven And The Ragged Tiger _Jap Band Score_,8,Duran Duran/Best Of [score],PARTIAL,Duran Duran/Duran Duran - Seven & The Ragged Tiger [jap Band Score],0.68,5,Duran Duran/Seven & The Ragged Tiger [jap Band Score],0.65,8,Duran Duran/Duran Duran - Decade [pvg Book],0.36,6,,
Eagles,Eagles - Greatest Hits,10,Eagles/Eagles - New Eagles Complete,PARTIAL,Eagles/Eagles - Greatest Hits,0.79,3,Eagles/Greatest Hits,0.65,10,Eagles/Greatest Hits (1971-1975),0.65,10,,
Eagles,Eagles - Greatest Hits _1971-1975_,10,Eagles/Eagles - New Eagles Complete,PARTIAL,Eagles/Eagles - Greatest Hits,0.65,3,Eagles/Eagles - Greatest Hits (1971-1975),0.62,2,Eagles/Greatest Hits,0.58,10,,
Eagles,Eagles - Made Easy For Guitar,6,Eagles/Eagles - Made Easy For Guitar,PARTIAL,Eagles/Eagles - Made Easy For Guitar,0.90,4,Eagles/Made Easy For Guitar,0.77,6,Eagles/Eagles - Greatest Hits,0.38,3,,
Eagles,Eagles - New Eagles Complete,67,Eagles/Eagles - New Eagles Complete,POOR,Eagles/New Eagles Complete,0.82,67,Eagles/Eagles - New Eagles Complete,0.82,27,Eagles/Eagles - Greatest Hits,0.36,3,,
Eagles,Eagles - The Best Of The Eagles - Songbook,12,Eagles/Eagles - New Eagles Complete,POOR,Eagles/The Best Of The Eagles - Songbook,1.00,12,Eagles/Eagles - The Best Of The Eagles - Songbook,0.77,3,Eagles/Eagles - Made Easy For Guitar,0.33,4,,
Elton John,Elton John - A Single Man,10,Elton John/Elton John - A Single Man,PARTIAL,Elton John/Elton John - A Single Man,0.88,6,Elton John/A Single Man,0.65,10,Elton John/Elton John - Made In England,0.56,7,,
Elton John,Elton John - Captain Fantastic,1,NONE,NO MATCH,Elton John/Elton John - Sleeping With The Past,0.60,1,Elton John/Elton John - The Very Best Of,0.60,1,Elton John/Captain Fantastic,0.58,1,,
Elton John,Elton John - Greatest Hits 1970-2002,30,Elton John/Elton John - Greatest Hits 1970-2002,PARTIAL,Elton John/Elton John - Greatest Hits 1970-2002,0.89,19,Elton John/Greatest Hits 1970-2002,0.65,30,Elton John/Elton John - The Ultimate Collection Vol. 1,0.45,19,,
Elton John,Elton John - Ice On Fire,12,Elton John/Elton John - Ice On Fire,PARTIAL,Elton John/Elton John - Ice On Fire,0.85,6,Elton John/Ice On Fire,0.62,11,Elton John/Elton John - Made In England,0.52,7,,
Elton John,Elton John - Made In England,11,Elton John/Elton John - Made In England,PARTIAL,Elton John/Elton John - Made In England,0.89,7,Elton John/Made In England,0.65,11,Elton John/Elton John - A Single Man,0.51,6,,
Elton John,Elton John - Peachtree Road,10,Elton John/Elton John - Peachtree Road,PARTIAL,Elton John/Elton John - Peachtree Road,0.85,5,Elton John/Peachtree Road,0.58,10,Elton John/Elton John - The One,0.57,5,,
Elton John,Elton John - Reg Strikes Back,9,Elton John/Elton John - Reg Strikes Back,POOR,Elton John/Elton John - Reg Strikes Back,0.83,4,Elton John/Reg Strikes Back,0.65,9,Elton John/Elton John - Made In England,0.58,7,,
Elton John,Elton John - Songs From The West Coast,3,Elton John/Elton John - Songs From The West Coast,PARTIAL,Elton John/Elton John - Songs From The West Coast,0.90,2,Elton John/Elton John - The Big Picture,0.55,2,Elton John/Songs From The West Coast,0.54,1,,
Elton John,Elton John - The Big Picture,3,Elton John/Elton John - The Big Picture,PARTIAL,Elton John/Elton John - The Big Picture,0.90,2,Elton John/Elton John - The One,0.57,5,Elton John/Elton John - Reg Strikes Back,0.55,4,,
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,Elton John/Greatest Hits 1970-2002,POOR,Elton John/Elton John - The Ultimate Collection Vol. 1,0.70,19,Elton John/Elton John - The Ultimate Collection Vol. 2,0.70,19,Elton John/Elton John - Greatest Hits 1970-2002,0.56,19,,
Elton John,Elton John - The Ultimate Collection Vol 1,59,Elton John/Greatest Hits 1970-2002,POOR,Elton John/Elton John - The Ultimate Collection Vol. 1,0.71,19,Elton John/The Ultimate Collection Vol. 1,0.64,58,Elton John/Elton John - The Ultimate Collection Vol. 2,0.62,19,,
Elton John,Elton John - The Ultimate Collection Vol 2,29,Elton John/Elton John - Greatest Hits 1970-2002,POOR,Elton John/Elton John - The Ultimate Collection Vol. 2,0.81,19,Elton John/Elton John - The Ultimate Collection Vol. 1,0.72,19,Elton John/The Ultimate Collection Vol. 2,0.65,29,,
Fray,Fray - How To Save A Life _Book_,3,Fray/Fray - How To Save A Life [book],PARTIAL,Fray/Fray - How To Save A Life [book],0.81,2,Fray/How To Save A Life [book],0.54,1,,,,,
Herman's Hermits,Hermans Hermits - Collection,8,NONE,NO MATCH,Herman's Hermits/Herman's Hermits - Collection,0.56,1,,,,,,,,
John Lennon,John Lennon - Collection,3,John Lennon/Collection,PARTIAL,John Lennon/John Lennon - Collection,0.90,2,John Lennon/John Lennon - Greatest Hits,0.42,9,,,,,
Lynyrd Skynyrd,Lynyrd Skynyrd - The New Best Of _Guitar Tab_,10,Lynyrd Skynyrd/Lynyrd Skynyrd - The New Best Of [guitar Tab],PARTIAL,Lynyrd Skynyrd/Lynyrd Skynyrd - The New Best Of [guitar Tab],0.72,6,Lynyrd Skynyrd/The New Best Of [guitar Tab],0.46,5,,,,,
Meatloaf,MeatLoaf - Bat Out Of Hell,3,Meatloaf/Meatloaf - Bat Out Of Hell,PARTIAL,Meatloaf/Meatloaf - Bat Out Of Hell,0.90,2,Meatloaf/Bat Out Of Hell,0.57,1,,,,,
Various Artists,Various Artists - 50s And 60s,81,NONE,NO MATCH,Various Artists/Various Artists - Great Big Book Of Children's Songs,0.49,70,Various Artists/Various Artists - 50's And 60's,0.47,1,Various Artists/Various Artists - The 1980s,0.45,26,,
Various Artists,Various Artists - 70s Collection - _57pp_,18,NONE,NO MATCH,Various Artists/Various Artists - 70's Collection - (57pp),0.60,8,Various Artists/Various Artists - Country Classics [pvg],0.60,15,Various Artists/Various Artists - Chart Hits 98-99,0.58,22,,
Various Artists,Various Artists - Best Of 80s Rock _PVG_,33,Various Artists/Best Of 80s Rock [pvg],PARTIAL,Various Artists/Various Artists - Best Of 80s Rock [pvg],0.79,19,Various Artists/Various Artists - History Of Rock - Late 80s,0.76,40,Various Artists/Various Artists - Collection Of Country Music,0.65,33,,
Various Artists,Various Artists - Best Rock Songs 2000-2005,36,Various Artists/Best Rock Songs 2000-2005,POOR,Various Artists/Various Artists - Best Rock Songs 2000-2005,0.83,16,Various Artists/Various Artists - History Of Rock - Late 80s,0.62,40,Various Artists/Various Artists - Best Of 80s Rock [pvg],0.60,19,,
Various Artists,Various Artists - Biggest Pop Hits 1996-1997,36,Various Artists/Biggest Pop Hits 1996-1997,PARTIAL,Various Artists/Various Artists - Biggest Pop Hits 1996-1997,0.78,10,Various Artists/Various Artists - 50 Platinum Country Hits,0.67,33,Various Artists/Various Artists - Greatest Hits Of 2004-2005,0.65,30,,
Various Artists,Various Artists - Chart Hits 01-02,25,NONE,NO MATCH,Various Artists/Various Artists - Chart Hits 98-99,0.85,22,Various Artists/Various Artists - Chart Hits 04-05,0.67,7,Various Artists/Various Artists - Greatest Hits Of 2004-2005,0.64,30,,
Vince Guaraldi,Vince Guaraldi - The Vince Guaraldi Collection,9,Vince Guaraldi/Peanuts Songbook,POOR,Vince Guaraldi/The Vince Guaraldi Collection,0.86,9,Vince Guaraldi/Vince Guaraldi - The Vince Guaraldi Collection,0.83,4,Vince Guaraldi/Vince Guaraldi - Peanuts Songbook,0.69,8,,
_movie And Tv,The Wizard Of Oz Script,20,NONE,NO MATCH,_movie And Tv/Various Artists - Wizard Of Oz [book],0.51,14,_movie And Tv/Various Artists - Movie Melodies - The Very Best Of Movie Songs,0.42,21,_movie And Tv/Pirates Of The Caribbean [book 2 - Dead Man's Chest],0.27,9,,
