"Artist","SourceBook","SourcePath","FolderCount","Folders"
"Eagles","Eagles - Greatest Hits (1971-1975)","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Greatest Hits (1971-1975).pdf","2","Eagles - Greatest Hits (1971-1975); Greatest Hits (1971-1975)"
"Eagles","Eagles - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Greatest Hits.pdf","2","Eagles - Greatest Hits; Greatest Hits"
"Eagles","Eagles - Hotel California (Guitar Songbook)","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Hotel California (Guitar Songbook).pdf","2","Eagles - Hotel California (guitar Songbook); Hotel California (guitar Songbook)"
"Eagles","Eagles - Made Easy For Guitar","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - Made Easy For Guitar.pdf","2","Eagles - Made Easy For Guitar; Made Easy For Guitar"
"Eagles","Eagles - New Eagles Complete","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - New Eagles Complete.pdf","2","Eagles - New Eagles Complete; New Eagles Complete"
"Eagles","Eagles - The Best Of The Eagles - Songbook","C:\Work\AWSMusic\SheetMusic\Eagles\books\Eagles - The Best Of The Eagles - Songbook.pdf","2","Eagles - The Best Of The Eagles - Songbook; The Best Of The Eagles - Songbook"
"ELO","ELO - A New World Record","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - A New World Record.pdf","2","A New World Record; Elo - A New World Record"
"ELO","ELO - Anthology [PVG]","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - Anthology [PVG].pdf","2","Anthology [pvg]; Elo - Anthology [pvg]"
"ELO","ELO - Discovery [PVG Book]","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - Discovery [PVG Book].pdf","2","Discovery [pvg Book]; Elo - Discovery [pvg Book]"
"ELO","ELO - Greatest Hits","C:\Work\AWSMusic\SheetMusic\ELO\books\ELO - Greatest Hits.pdf","2","Elo - Greatest Hits; Greatest Hits"
"Elton John","Elton John - A Single Man","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - A Single Man.pdf","2","A Single Man; Elton John - A Single Man"
"Elton John","Elton John - Goodbye Yellow Brick Road","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Goodbye Yellow Brick Road.pdf","2","Elton John - Goodbye Yellow Brick Road; Goodbye Yellow Brick Road"
"Elton John","Elton John - Greatest Hits 1970-2002","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Greatest Hits 1970-2002.pdf","2","Elton John - Greatest Hits 1970-2002; Greatest Hits 1970-2002"
"Elton John","Elton John - Ice On Fire","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Ice On Fire.pdf","2","Elton John - Ice On Fire; Ice On Fire"
"Elton John","Elton John - Made In England","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Made In England.pdf","2","Elton John - Made In England; Made In England"
"Elton John","Elton John - Peachtree Road","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Peachtree Road.pdf","2","Elton John - Peachtree Road; Peachtree Road"
"Elton John","Elton John - Reg Strikes Back","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Reg Strikes Back.pdf","2","Elton John - Reg Strikes Back; Reg Strikes Back"
"Elton John","Elton John - Sleeping With The Past","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Sleeping With The Past.pdf","2","Elton John - Sleeping With The Past; Sleeping With The Past"
"Elton John","Elton John - Songs From The West Coast","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Songs From The West Coast.pdf","2","Elton John - Songs From The West Coast; Songs From The West Coast"
"Elton John","Elton John - The Big Picture","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - The Big Picture.pdf","2","Elton John - The Big Picture; The Big Picture"
"Elton John","Elton John - The One","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - The One.pdf","2","Elton John - The One; The One"
"Elton John","Elton John - The Ultimate Collection Vol. 1","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - The Ultimate Collection Vol. 1.pdf","2","Elton John - The Ultimate Collection Vol. 1; The Ultimate Collection Vol. 1"
"Elton John","Elton John - The Ultimate Collection Vol. 2","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - The Ultimate Collection Vol. 2.pdf","2","Elton John - The Ultimate Collection Vol. 2; The Ultimate Collection Vol. 2"
"Elton John","Elton John - The Very Best Of","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - The Very Best Of.pdf","2","Elton John - The Very Best Of; The Very Best Of"
"Elton John","Elton John - Too Low For Zero [Book]","C:\Work\AWSMusic\SheetMusic\Elton John\books\Elton John - Too Low For Zero [Book].pdf","2","Elton John - Too Low For Zero [book]; Too Low For Zero [book]"
"Elvis Costello","Elvis Costello - The Very Best Of","C:\Work\AWSMusic\SheetMusic\Elvis Costello\books\Elvis Costello - The Very Best Of.pdf","2","Elvis Costello - The Very Best Of; The Very Best Of"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Black Book","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\books\Emerson Lake and Palmer - Black Book.pdf","2","Black Book; Emerson Lake And Palmer - Black Book"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\books\Emerson Lake and Palmer - Greatest Hits.pdf","2","Emerson Lake And Palmer - Greatest Hits; Greatest Hits"
"Emerson Lake and Palmer","Emerson Lake and Palmer - Trilogy [Book]","C:\Work\AWSMusic\SheetMusic\Emerson Lake and Palmer\books\Emerson Lake and Palmer - Trilogy [Book].pdf","2","Emerson Lake And Palmer - Trilogy [book]; Trilogy [book]"
