Type,Needs_Rename,Artist,Old_Name,New_Name,Old_Path,New_Path,Status
FOLDER,YES,Various Artists,Great Big Book Of Children's Songs,Great Big Book Of Childrens Songs,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Big Book Of Children's Songs,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Big Book Of Childrens Songs,MATCHED
PDF,YES,Various Artists,Various Artists - Great Songs Of The 70s [Guitar Tab],Various Artists - Great Songs Of The 70s _Guitar Tab_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Songs Of The 70s [Guitar Tab].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Great Songs Of The 70s _Guitar Tab_.pdf,MATCHED
FOLDER,YES,Various Artists,Great Songs Of The 70s [guitar Tab],Great Songs Of The 70s _guitar Tab_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Songs Of The 70s [guitar Tab],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Great Songs Of The 70s _guitar Tab_,MATCHED
PDF,YES,Various Artists,Various Artists - Heavy Metal Vol. III,Various Artists - Heavy Metal Vol III,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Heavy Metal Vol. III.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Heavy Metal Vol III.pdf,MATCHED
FOLDER,YES,Various Artists,Heavy Metal Vol. Iii,Heavy Metal Vol III,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Heavy Metal Vol. Iii,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Heavy Metal Vol III,MATCHED
PDF,YES,Various Artists,Various Artists - Heavy Rock Hits Of The 80s [PVG],Various Artists - Heavy Rock Hits Of The 80s _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Heavy Rock Hits Of The 80s [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Heavy Rock Hits Of The 80s _PVG_.pdf,MATCHED
FOLDER,YES,Various Artists,Heavy Rock Hits Of The 80s [pvg],Heavy Rock Hits Of The 80s _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Heavy Rock Hits Of The 80s [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Heavy Rock Hits Of The 80s _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - More Songs Of The Eighties [PVG],Various Artists - More Songs Of The Eighties _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - More Songs Of The Eighties [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - More Songs Of The Eighties _PVG_.pdf,MATCHED
FOLDER,YES,Various Artists,More Songs Of The Eighties [pvg],More Songs Of The Eighties _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\More Songs Of The Eighties [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\More Songs Of The Eighties _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - Songs Of The 60s [PVG],Various Artists - Songs Of The 60s _PVG_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Songs Of The 60s [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - Songs Of The 60s _PVG_.pdf,MATCHED
