Type,Input Path,Output Path,Similarity
Exact Match,_Movie and TV\Various Artists - Ultimate TV Showstoppers.pdf,_movie And Tv/Various Artists - Ultimate TV Showstoppers,100%
Exact Match,_Movie and TV\Various Artists - Warner Bros 75th Anniversary.pdf,_movie And Tv/Various Artists - Warner Bros 75th Anniversary,100%
Exact Match,_Movie and TV\Various Artists - Wizard Of Oz _Book_.pdf,_movie And Tv/Various Artists - Wizard Of Oz _Book_,100%
Exact Match,ACDC\ACDC - Anthology.pdf,Acdc/ACDC - Anthology,100%
Exact Match,Adele\Adele - 19 _PVG Book_.pdf,Adele/Adele - 19 _PVG Book_,100%
Exact Match,Aerosmith\Aerosmith - Greatest Hits _Songbook_.pdf,Aerosmith/Aerosmith - Greatest Hits _Songbook_,100%
Exact Match,Allman Brothers\Allman Brothers - Allman Brothers Band _PVG_.pdf,Allman Brothers/Allman Brothers - Allman Brothers Band _PVG_,100%
Exact Match,Allman Brothers\Allman Brothers - Band Best _Score_.pdf,Allman Brothers/Allman Brothers - Band Best _Score_,100%
Exact Match,Allman Brothers\Allman Brothers - Best Of _PVG_.pdf,Allman Brothers/Allman Brothers - Best Of _PVG_,100%
Exact Match,America\America - America _PVG Book_.pdf,America/America - America _PVG Book_,100%
Exact Match,America\America - Greatest Hits.pdf,America/America - Greatest Hits,100%
Exact Match,America\America - Greatest Hits _Book_.pdf,America/America - Greatest Hits _Book_,100%
Exact Match,Asia\Asia - Alpha _PVG Book_.pdf,Asia/Asia - Alpha _PVG Book_,100%
Exact Match,Avril Lavigne\Avril Lavigne - The Best Damn Thing _PVG Book_.pdf,Avril Lavigne/Avril Lavigne - The Best Damn Thing _PVG Book_,100%
Exact Match,Barry Manilow\Barry Manilow - Anthology.pdf,Barry Manilow/Barry Manilow - Anthology,100%
Exact Match,Barry Manilow\Barry Manilow - Barry Manilow _PVG Book_.pdf,Barry Manilow/Barry Manilow - Barry Manilow _PVG Book_,100%
Exact Match,Beatles\Beatles - 100 Hits For All Keyboards.pdf,Beatles/Beatles - 100 Hits For All Keyboards,100%
Exact Match,Beatles\Beatles - Abbey Road.pdf,Beatles/Beatles - Abbey Road,100%
Exact Match,Beatles\Beatles - Abbey Road Guitar Recorded Version.pdf,Beatles/Beatles - Abbey Road Guitar Recorded Version,100%
Exact Match,Beatles\Beatles - All Songs 1962-1974.pdf,Beatles/Beatles - All Songs 1962-1974,100%
Exact Match,Beatles\Beatles - Anthology.pdf,Beatles/Beatles - Anthology,100%
Exact Match,Beatles\Beatles - Anthology 1.pdf,Beatles/Beatles - Anthology 1,100%
Exact Match,Beatles\Beatles - Anthology 1 _113 pages_.pdf,Beatles/Beatles - Anthology 1 _113 pages_,100%
Exact Match,Beatles\Beatles - Anthology 2 page_01_-_40.pdf,Beatles/Beatles - Anthology 2 page_01_-_40,100%
Exact Match,Beatles\Beatles - Anthology 2 page_41_-72.pdf,Beatles/Beatles - Anthology 2 page_41_-72,100%
Exact Match,Beatles\Beatles - Anthology 2 page_73_-112.pdf,Beatles/Beatles - Anthology 2 page_73_-112,100%
Exact Match,Beatles\Beatles - Anthology 3 _page 37 - 79.pdf,Beatles/Beatles - Anthology 3 _page 37 - 79,100%
Exact Match,Beatles\Beatles - Anthology 3 page_01_-_36.pdf,Beatles/Beatles - Anthology 3 page_01_-_36,100%
Exact Match,Beatles\Beatles - Anthology 3 page_80_-_111.pdf,Beatles/Beatles - Anthology 3 page_80_-_111,100%
Exact Match,Beatles\Beatles - Beatlemania 1963-1966.pdf,Beatles/Beatles - Beatlemania 1963-1966,100%
Exact Match,Beatles\Beatles - Complete Scores.pdf,Beatles/Beatles - Complete Scores,100%
Exact Match,Beatles\Beatles - Complete Scores _2_.pdf,Beatles/Beatles - Complete Scores _2_,100%
Exact Match,Beatles\Beatles - Essential Songs.pdf,Beatles/Beatles - Essential Songs,100%
Exact Match,Beatles\Beatles - Fake Songbook _Guitar_.pdf,Beatles/Beatles - Fake Songbook _Guitar_,100%
Exact Match,Beatles\Beatles - Joy Of Beatles.pdf,Beatles/Beatles - Joy Of Beatles,100%
Exact Match,Beatles\Beatles - Live At The Hollywood Bowl.pdf,Beatles/Beatles - Live At The Hollywood Bowl,100%
Exact Match,Beatles\Beatles - Live At The Hollywood Bowl _2_.pdf,Beatles/Beatles - Live At The Hollywood Bowl _2_,100%
Exact Match,Beatles\Beatles - Revolver.pdf,Beatles/Beatles - Revolver,100%
