"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"Billy Joel","Billy Joel Greatest Hits Vols 1 and 2","C:\Work\AWSMusic\SheetMusic\Billy Joel\books\Billy Joel Greatest Hits Vols 1 and 2.pdf","True","Billy Joel Greatest Hits Vols 1 And 2","11"
"Billy Ocean","Billy Ocean - The Best Of","C:\Work\AWSMusic\SheetMusic\Billy Ocean\books\Billy Ocean - The Best Of.pdf","True","The Best Of","10"
"Black Eyed Peas","Black Eyed Peas - Elephunk [PVG Book]","C:\Work\AWSMusic\SheetMusic\Black Eyed Peas\books\Black Eyed Peas - Elephunk [PVG Book].pdf","True","Elephunk [pvg Book]","0"
"Blues Brothers","Blues Brothers - Complete","C:\Work\AWSMusic\SheetMusic\Blues Brothers\books\Blues Brothers - Complete.pdf","True","Complete","12"
"Bob Dylan","Bob Dylan - Anthology 1","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology 1.pdf","True","Anthology 1","46"
"Bob Dylan","Bob Dylan - Anthology 2","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology 2.pdf","True","Anthology 2","51"
"Bob Dylan","Bob Dylan - Anthology","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Anthology.pdf","True","Anthology","46"
"Bob Dylan","Bob Dylan - Basement Tapes [PVG]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Basement Tapes [PVG].pdf","True","Basement Tapes [pvg]","0"
"Bob Dylan","Bob Dylan - Blonde On Blonde","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Blonde On Blonde.pdf","True","Blonde On Blonde","13"
"Bob Dylan","Bob Dylan - Collection","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Collection.pdf","True","Collection","47"
"Bob Dylan","Bob Dylan - Desire","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Desire.pdf","True","Desire","9"
"Bob Dylan","Bob Dylan - Finger Picking","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Finger Picking.pdf","True","Finger Picking","14"
"Bob Dylan","Bob Dylan - Highway 61 Revisited","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Highway 61 Revisited.pdf","True","Highway 61 Revisited","10"
"Bob Dylan","Bob Dylan - Nashville Skyline","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Nashville Skyline.pdf","False","","0"
"Bob Dylan","Bob Dylan - Rock Score","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Rock Score.pdf","True","Rock Score","6"
"Bob Dylan","Bob Dylan - Saved","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Saved.pdf","True","Saved","8"
"Bob Dylan","Bob Dylan - Songbook","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Songbook.pdf","True","Songbook","47"
"Bob Dylan","Bob Dylan - The Harp Styles of Bob Dylan [Harmonica]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - The Harp Styles of Bob Dylan [Harmonica].pdf","True","The Harp Styles Of Bob Dylan [harmonica]","0"
"Bob Seger","Bob Seger - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bob Seger\books\Bob Seger - Greatest Hits.pdf","True","Greatest Hits","14"
"Bob Seger","Bob Seger - The New Best Of Bob Seger","C:\Work\AWSMusic\SheetMusic\Bob Seger\books\Bob Seger - The New Best Of Bob Seger.pdf","True","The New Best Of Bob Seger","5"
"Bon Jovi","Bon Jovi - Best of Bon Jovi","C:\Work\AWSMusic\SheetMusic\Bon Jovi\books\Bon Jovi - Best of Bon Jovi.pdf","True","Best Of Bon Jovi","19"
"Bonnie Raitt","Bonnie Raitt - Nick Of Time [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\books\Bonnie Raitt - Nick Of Time [PVG Book].pdf","True","Nick Of Time [pvg Book]","0"
"Bonnie Raitt","Bonnie Raitt - Road Tested [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\books\Bonnie Raitt - Road Tested [PVG Book].pdf","True","Road Tested [pvg Book]","0"
"Bonnie Tyler","Bonnie Tyler - Hot Songs","C:\Work\AWSMusic\SheetMusic\Bonnie Tyler\books\Bonnie Tyler - Hot Songs.pdf","True","Hot Songs","7"
"Bread","Bread - Best of Bread","C:\Work\AWSMusic\SheetMusic\Bread\books\Bread - Best of Bread.pdf","True","Best Of Bread","4"
"Bruce Springsteen","Bruce Springsteen - Born In The USA","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born In The USA.pdf","True","Born In The Usa","13"
"Bruce Springsteen","Bruce Springsteen - Born To Run","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born To Run.pdf","True","Born To Run","8"
"Bruce Springsteen","Bruce Springsteen - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Greatest Hits.pdf","True","Greatest Hits","13"
"Bruce Springsteen","Bruce Springsteen - Lucky Town","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Lucky Town.pdf","True","Lucky Town","9"
"Buddy Holly","Buddy Holly - Golden Anniversary Songbook","C:\Work\AWSMusic\SheetMusic\Buddy Holly\books\Buddy Holly - Golden Anniversary Songbook.pdf","True","Golden Anniversary Songbook","28"
"Burl Ives","Burl Ives - Song Book","C:\Work\AWSMusic\SheetMusic\Burl Ives\books\Burl Ives - Song Book.pdf","True","Song Book","106"
"Burt Bacharach","Burt Bacharach - 40 Golden Songs Of","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - 40 Golden Songs Of.pdf","True","40 Golden Songs Of","40"
"Burt Bacharach","Burt Bacharach - Anthology","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Anthology.pdf","True","Anthology","33"
"Burt Bacharach","Burt Bacharach - Bacharach Collection","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Bacharach Collection.pdf","True","Bacharach Collection","15"
