artist,original_book_name,original_book_path,has_converted_songs,song_count,converted_folder
_Movie and TV,Various Artists - Star Trek - Enterprise,Others\Books\Various Artists - Star Trek - Enterprise.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Enterprise
_Movie and TV,Various Artists - Star Trek - First Contact,Others\Books\Various Artists - Star Trek - First Contact.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - First Contact
_Movie and TV,Various Artists - Star Trek - Generations,Others\Books\Various Artists - Star Trek - Generations.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Generations
_Movie and TV,Various Artists - Star Trek - Insurrection,Others\Books\Various Artists - Star Trek - Insurrection.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Insurrection
_Movie and TV,Various Artists - Star Trek - Star Trek  The Motion Picture,Others\Books\Various Artists - Star Trek - Star Trek  The Motion Picture.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Star Trek
_Movie and TV,Various Artists - Star Trek - Star Trek,Others\Books\Various Artists - Star Trek - Star Trek.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Star Trek
_Movie and TV,Various Artists - Star Trek - The Final Frontier,Others\Books\Various Artists - Star Trek - The Final Frontier.pdf,Yes,2,_movie And Tv\Various Artists - Star Trek - The Final Frontier
_Movie and TV,Various Artists - Star Trek - The Next Generation,Others\Books\Various Artists - Star Trek - The Next Generation.pdf,Yes,2,_movie And Tv\Various Artists - Star Trek - The Next Generation
_Movie and TV,Various Artists - Star Trek - The Search For Spock,Others\Books\Various Artists - Star Trek - The Search For Spock.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - The Search For Spock
_Movie and TV,Various Artists - Star Trek - The Undiscovered Country,Others\Books\Various Artists - Star Trek - The Undiscovered Country.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - The Undiscovered Country
_Movie and TV,Various Artists - Star Trek - The Voyage Home,Others\Books\Various Artists - Star Trek - The Voyage Home.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - The Voyage Home
_Movie and TV,Various Artists - Star Trek - The Wrath of Khan,Others\Books\Various Artists - Star Trek - The Wrath of Khan.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - The Wrath Of Khan
_Movie and TV,Various Artists - Star Trek - Them from Search for Spock,Others\Books\Various Artists - Star Trek - Them from Search for Spock.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Them From Search For Spock
_Movie and TV,Various Artists - Star Trek - Voyager,Others\Books\Various Artists - Star Trek - Voyager.pdf,Yes,1,_movie And Tv\Various Artists - Star Trek - Voyager
_Movie and TV,Various Artists - The Big Book Of Movie Music,Others\Books\Various Artists - The Big Book Of Movie Music.pdf,Yes,64,_movie And Tv\Various Artists - The Big Book Of Movie Music
_Movie and TV,Various Artists - The Simpsons - Simpsons Songbook,Others\Books\Various Artists - The Simpsons - Simpsons Songbook.pdf,Yes,1,_movie And Tv\Various Artists - The Simpsons - Simpsons Songbook
_Movie and TV,Various Artists - The TV Fakebook,Others\Books\Various Artists - The TV Fakebook.pdf,Yes,71,_movie And Tv\Various Artists - The Tv Fakebook
_Movie and TV,Various Artists - Top Movie Hits,Others\Books\Various Artists - Top Movie Hits.pdf,Yes,10,_movie And Tv\Various Artists - Top Movie Hits
_Movie and TV,Various Artists - TV Detective - Themes For Solo Piano,Others\Books\Various Artists - TV Detective - Themes For Solo Piano.pdf,Yes,28,_movie And Tv\Various Artists - Tv Detective - Themes For Solo Piano
_Movie and TV,Various Artists - TV Fakebook 2nd Ed,Others\Books\Various Artists - TV Fakebook 2nd Ed.pdf,Yes,105,_movie And Tv\Various Artists - Tv Fakebook 2nd Ed
_Movie and TV,Various Artists - Ultimate TV Showstoppers,Others\Books\Various Artists - Ultimate TV Showstoppers.pdf,Yes,18,_movie And Tv\Various Artists - Ultimate Tv Showstoppers
_Movie and TV,Various Artists - Warner Bros 75th Anniversary,Others\Books\Various Artists - Warner Bros 75th Anniversary.pdf,Yes,3,_movie And Tv\Various Artists - Warner Bros 75th Anniversary
_Movie and TV,Various Artists - Wizard Of Oz [Book],Others\Books\Various Artists - Wizard Of Oz [Book].pdf,Yes,10,_movie And Tv\Various Artists - Wizard Of Oz [book]
ACDC,ACDC - Anthology,Books\ACDC - Anthology.pdf,Yes,0,Acdc\Acdc - Anthology
